tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_cell_type
Lung,2,0.5,"MYH11,PLN,MYL9,DES,CALD1",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,2,0.5,"HEY1,FBLN5,EPAS1,SEMA3G,ARGLU1",Artery,,,endothelial cell
Lung,2,0.5,"EMCN,SOSTDC1,CYP3A5,HPGD,ESAM",Capillary Aerocyte,,,capillary endothelial cell
Lung,2,0.5,"IPO7,GALNT18,SH3BP5,WWTR1,SRSF11",Capillary Intermediate,,,Epithelial cells
Lung,2,0.5,"OSR1,FGF7,WT1,MEDAG,CPXM1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,none
Lung,2,0.5,"DSC3,DMKN,PRG4,ALDH1A3,MGARP",Mesothelial,mesothelial cell,CL:0000077,club cell
Lung,2,0.5,"ITGA2B,GRAP2,TUBB1,GP6,PF4",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",platelet
Lung,2,0.5,"CTSW,CCL5,ZFP36L2,CXCR4,CD7",Natural Killer T,,,intermediate monocyte
Lung,2,0.5,"CNN1,RAMP1,CSRP1,MET,IGF1",Fibromyocyte,,,smooth muscle cell
Lung,2,0.5,"S100P,TXN,AGR2,GABRP,FAM3D",Goblet,goblet cell,CL:0000160,club cell
Lung,2,0.5,"HEPACAM2,MFSD6L,ATP6V1B1,ASCL3,FOXI1",Ionocyte,ionocyte,CL:0005006,Clara cell
Lung,2,0.5,"PRDX2,EGR1,FAM46A,SEC11C,PCSK1N",Neuroendocrine,neuroendocrine cell,CL:0000165,neuron
Lung,2,0.5,"PRR4,LYZ,PHB,TESC,PRB3",Serous,serous secreting cell,CL:0000313,mixture of goblet cell and other epithelial cells
Lung,2,0.5,"LAPTM5,CTSL,AIF1,FCER1G,C1QB",Macrophages,macrophage,CL:0000235,macrophage
Lung,2,0.5,"CTSW,PRF1,GNLY,CCL4,CCL5",Innate lymphoid cell NK,natural killer cell,CL:0000623,cytotoxic T cell
Lung,2,0.5,"SFTA3,CYB5A,PEBP4,SLC39A8,SFTA2",AT2,type II pneumocyte,CL:0002063,alveolar epithelial cell
Lung,2,0.5,"MGP,RAMP3,GNG11,SPARCL1,PECAM1",EC venous,vein endothelial cell,CL:0002543,endothelial cell
Lung,2,0.5,"CD2,CD69,CD3D,IL32,TRBC2",T cell lineage,T cell,CL:0000084,T cell
Lung,2,0.5,"SPARCL1,TM4SF1,CRIP2,IFI27,CLDN5",EC arterial,endothelial cell of artery,CL:1000413,vascular endothelial cell
Lung,2,0.5,"C1S,COL1A2,DCN,LUM,COL6A1",Fibroblasts,fibroblast,CL:0000057,fibroblast
Lung,2,0.5,"AGER,KRT7,CAV1,SFTA2,EMP2",AT1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
Lung,2,0.5,"C5orf49,GSTA1,RP11-356K23.1,RP11-295M3.4,C11orf97",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,pulmonary alveolar type 2 cell
Lung,2,0.5,"IGLC2,CD79A,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,immune cell
Lung,2,0.5,"BPIFB1,CEACAM6,CP,WFDC2,MUC1",Secretory,secretory cell,CL:0000151,pulmonary alveolar type 2 cell
Lung,2,0.5,"LST1,COTL1,S100A9,FCER1G,S100A8",Monocytes,monocyte,CL:0000576,"neutrophil, natural killer t cell"
Lung,2,0.5,"AZGP1,LTF,PIGR,CCL28,SELM",Submucosal Secretory,,,secretory epithelial cell
Lung,2,0.5,"CLEC14A,AQP1,CLDN5,EGFL7,CDH5",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
Lung,2,0.5,"TM4SF1,CLDN5,PPFIBP1,SDPR,CCL21",Lymphatic EC mature,,,endothelial cell
Lung,2,0.5,"TCF4,CCL21,TFPI,IGFBP7,GNG11",Lymphatic EC differentiating,,,pulmonary alveolar type 2 cell
Lung,2,0.5,"HLA-DQA1,HLA-DPB1,HLA-DPA1,HLA-DQB1,HLA-DMA",Dendritic cells,dendritic cell,CL:0000451,antigen-presenting cell
Lung,2,0.5,"PRELP,MT1X,CTGF,CALD1,TPM2",Myofibroblasts,myofibroblast cell,CL:0000186,mesothelial cell
Lung,2,0.5,"TPSB2,GATA2,TPSAB1,HPGDS,MS4A2",Mast cells,mast cell,CL:0000097,mast cell
Lung,2,0.5,"PPP1R14A,FLNA,NEXN,TPM2,LMOD1",Fibromyocytes,,,smooth muscle cell
Lung,2,0.5,"HMGN1,MARCKS,TUBB,EID1,ARPC1A",Lymphatic EC proliferating,,,Ciliated Cell
Lung,2,0.5,"FBXL7,PPFIBP1,CD36,KALRN,SEMA3A",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,unidentified
Lung,2,0.5,"KHDRBS2,EMP2,NTM,NCKAP5,LIMCH1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Ciliated cells
Lung,2,0.5,"SFTPC,ZNF385B,PDE4D,LRRK2,ABCA3",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
Lung,2,0.5,"EYA2,FAF1,XPR1,CACHD1,KRT17",Epithelial cell (basal),basal cell,CL:0000646,Basal Cell
Lung,2,0.5,"TMEM232,HYDIN,CDHR3,DNAH12,AGBL4",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,goblet cell
Lung,2,0.5,"BMPR1B,CDK14,ERBB4,SCGB3A2,KIAA1217",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,2,0.5,"DENND5B,ARHGAP15,MEF2C,RALGPS2,PLCG2",Immune (B cell),B cell,CL:0000236,"fibroblast, lipofibroblast"
Lung,2,0.5,"FYN,SKAP1,PARP8,AOAH,ARHGAP15",Immune (NK cell),natural killer cell,CL:0000623,immune cell
Lung,2,0.5,"THEMIS,PARP8,SYTL3,ITK,FKBP5",Immune (T cell),T cell,CL:0000084,cd4+ mem/eff cell
Lung,2,0.5,"FMNL2,PPARG,GPCPD1,TFRC,DOCK8",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,not_in_database
Lung,2,0.5,"KIT,IL18R1,SLC24A3,SAMSN1,FER",Immune (mast cell),mast cell,CL:0000097,mast cell
Lung,2,0.5,"ACTA2,LPP,PRKG1,DMD,CACNA1C",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
Lung,2,0.5,"PTPRM,CALCRL,TCF4,ST6GALNAC3,EPAS1",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,lipofibroblast
Lung,2,0.5,"LAMA2,RBMS3,ROBO2,LSAMP,ARHGAP6",Fibroblast,fibroblast,CL:0000057,Fibroblast
Lung,2,0.5,"SLC8A1,TBXAS1,CD74,CHST11,SRGN",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",macrophage
Lung,2,0.5,"PLIN1,GHR,LPIN1,PPARG,ACSL1",Adipocyte,fat cell,CL:0000136,adipocyte
Lung,2,0.5,"PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar epithelial cell type I
Lung,2,0.5,"SFTPB,NKX2-1",Alveolar Type II,type II pneumocyte,CL:0002063,serous secreting cell and lung alveolar type II cell
Lung,2,0.5,"CD24,FAS",B cell_memory,memory B cell,CL:0000787,potential lung epithelial cell
Lung,2,0.5,"DNAI2,TUBA1A,FOXJ1,DNAI1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
Lung,2,0.5,"SCGB3A2,SCGB3A1,SCGB1A1",Club Epithelial,club cell,CL:0000158,club cell
Lung,2,0.5,"IGFBP5,COL5A2,COL4A1,SLIT2,FBLN1,COL18A1,COL3A1,VIM,DCN,NEGR1,HGF,DDR2",Fibroblast,fibroblast,CL:0000057,fibroblast
Lung,2,0.5,"RELN,LYVE1,CCL21",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
Lung,2,0.5,"CD74,CPM,CSF1R,CD68,MERTK,CD36,RBPJ,MS4A6A,LYZ,MR1",Macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.5,"TPSAB1,HDC,KIT",Mast Cell,mast cell,CL:0000097,mast cell
Lung,2,0.5,"DES,ACTA2,ACTA2,MYO1B",Pericyte,pericyte,CL:0000669,myofibroblast
Lung,2,0.5,"ACTA2,MYH11,PALLD,TAGLN,CNN1,GUCY1B3,ACTG2",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,2,0.5,"CD96,IL7R,THEMIS,TRBC1,CD247,PTPRC",T cell,T cell,CL:0000084,T cell
Lung,2,0.5,"CLDN5,PTPRB,BACE2,VWF,LDB2",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell
Lung,2,0.5,"NAPSA,PGC,HOPX,SFTPB,SFTPD",type ii pneumocyte,type II pneumocyte,CL:0002063,alveolar type II cell
Lung,2,0.5,"S100A12,PROK2,OLAH,FCGR3B,CD177",neutrophil,neutrophil,CL:0000775,nonclassical monocyte
Lung,2,0.5,"IL7R,TRAC,CXCR4,IL32,CD2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T-cell
Lung,2,0.5,"CD3E,IL32,CCL5,GZMA,KLRD1","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,natural killer t cell
Lung,2,0.5,"GZMA,GZMB,CST7,GNLY,PRF1",nk cell,natural killer cell,CL:0000623,cytotoxic t cell
Lung,2,0.5,"EXOC3L2,ZNF385D,RBP5,POSTN,CCL14",bronchial vessel endothelial cell,,,Fibroblasts
Lung,2,0.5,"FOXC2,HSPB6,AC100803.2,MYH11,CNN1",smooth muscle cell,smooth muscle cell,CL:0000192,smooth muscle cells
Lung,2,0.5,"MFAP5,FBLN1,C1R,C1S,SERPINF1",adventitial cell,adventitial cell,CL:0002503,capillary endothelial cell
Lung,2,0.5,"C1QA,VSIG4,MRC1,MS4A7,APOC1",macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.5,"VWA5A,HPGDS,TPSB2,GATA2,MS4A2",basophil,basophil,CL:0000767,mast cell
Lung,2,0.5,"S100A9,S100A12,VSIR,CD300E,MNDA",classical monocyte,classical monocyte,CL:0000860,neutrophil
Lung,2,0.5,"GJA5,NPR3,MMRN2,NOS1,PTPRB",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell of artery
Lung,2,0.5,"TMEM190,RSPH1,CAPS,C11orf88,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated epithelial cell
Lung,2,0.5,"CD1C,GPR183,FCGR2B,PKIB,FCER1A",dendritic cell,dendritic cell,CL:0000451,nonclassical dendritic cell
Lung,2,0.5,"CP,TSPAN1,SERPINB3,SCGB1A1,BPIFB1",respiratory goblet cell,respiratory goblet cell,CL:0002370,club cell
Lung,2,0.5,"TACSTD2,IGFBP2,KRT19,ALDH3A1,S100A2",basal cell,basal cell,CL:0000646,lung epithelial cell
Lung,2,0.5,"MZB1,DERL3,IGHG4,IGHG2,CD79A",plasma cell,plasma cell,CL:0000786,plasma cell
Lung,2,0.5,"VPREB3,TNFRSF13B,BLK,IGHM,PAX5",b cell,B cell,CL:0000236,B cell
Lung,2,0.5,"PRB3,C6orf58,ANO1,PRR4,SLC5A1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,Goblet Cell
Lung,2,0.5,"CSF1R,RNASE6,FGL2,HCLS1,FCGR3A",non-classical monocyte,non-classical monocyte,CL:0000875,nonclassical monocyte
Lung,2,0.5,"CLDN5,MT1M,SLC6A4,LRRC32,TIMP3",capillary endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell
Lung,2,0.5,"IL1RL1,HPGD,EDNRB,CA4,SPARCL1",capillary aerocyte,,,mast cell
Lung,2,0.5,"MYRF,NTM,MS4A15,RTKN2,ITLN2",type i pneumocyte,type I pneumocyte,CL:0002062,goblet cell
Lung,2,0.5,"IGFBP7,C7,VWF,SPARCL1,ACKR1",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
Lung,2,0.5,"DCN,PTGDS,LUM,RARRES2,C7",alveolar fibroblast,,,fibroblast
Lung,2,0.5,"STAB2,FOXC2,RELN,PROX1,MMRN1",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
Lung,2,0.5,"CARMN,MYH11,PPP1R14A,PLN,DES",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell
Lung,2,0.5,"SCT,AL357143.1,FAM129C,LAMP5,LILRA4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,pulmonary alveolar type 2 cell
Lung,2,0.5,"SFTPB,WFDC2,PIGR,FOLR1,CEACAM6",club cell,club cell,CL:0000158,alveolar epithelial cell type II
Lung,2,0.5,"CLU,NPDC1,LIFR,VWF,CLDN5",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,unspecified_lung_cell_type
Lung,2,0.5,"MYH11,CCN5,C2orf40,PRELP,COX4I2",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,smooth muscle cell
Lung,2,0.5,"FABP7,LINC01902,GPR1,KCTD8,PLPPR4",myofibroblast cell,myofibroblast cell,CL:0000186,Ionocyte
Lung,2,0.5,"RGN,COX4I2,TPM2,INMT,PPP1R14A",pericyte cell,pericyte,CL:0000669,capillary endothelial cell
Lung,2,0.5,"ITLN1,BCHE,CPB1,HAS1,ROR2",mesothelial cell,mesothelial cell,CL:0000077,goblet cell
Lung,2,0.5,"CACNA1C,SGIP1,SCN7A,BMP5,TARID",fibroblast,fibroblast,CL:0000057,Club cells
Lung,2,0.5,"MPEG1,CORO1A,CD300E,FCN1,VCAN",intermediate monocyte,intermediate monocyte,CL:0002393,nonclassical monocyte
Lung,2,0.5,"TMPRSS11E,DGKI,ATP6V1G3,CEL,LINC01187",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell
Lung,2,0.75,"LAMA3,EMP2,AGER,GPRC5A,ARHGEF26,RTKN2,SCEL",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
Lung,2,0.75,"CD79B,VPREB3,CD79A,CD22,LINC00926,BLK,SP140",B,B cell,CL:0000236,B cell
Lung,2,0.75,"KRT19,KRT15,KRT17,PERP,ITGA2,S100A2,DST",Basal,basal cell,CL:0000646,basal epithelial cell
Lung,2,0.75,"CSF3R,METTL9,FCN1,VCAN,S100A8,S100A9,CD99",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
Lung,2,0.75,"LEF1,BCL11B,MAL,MALAT1,IL7R,ITK,CD2",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell
Lung,2,0.75,"CCDC170,CDHR3,C20orf85,FAM92B,FANK1,CAPS,ZMYND10",Ciliated,ciliated cell,CL:0000064,pulmonary epithelial cell
Lung,2,0.75,"FPR3,CLEC10A,GPR183,RGS1,HLA-DQA1,HLA-DPB1,FCGR2B",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
Lung,2,0.75,"C3,ABLIM1,CFD,ADH1B,FBLN1,C1S,LUM",Fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
Lung,2,0.75,"PROX1,TBX1,CCL21,TIMP3,PPFIBP1,TFF3,IGFBP7",Lymphatic,,,cell_type_name
Lung,2,0.75,"VSIG4,OLR1,APOC1,SLCO2B1,ITGAX,GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.75,"FCGR3A,KLRF1,KLRD1,GNLY,CD247,NKG7,PRF1",Natural Killer,natural killer cell,CL:0000623,natural killer cell
Lung,2,0.75,"MANF,SEC11C,SSR4,XBP1,HSP90B1,POU2AF1,PRDX4",Plasma,plasma cell,CL:0000786,goblet cell
Lung,2,0.75,"SFTPA2,NAPSA,SFTPB,LPCAT1,ABCA3,SLC34A2,LAMP3",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type 2 cell
Lung,2,0.75,"GRAP2,TPSAB1,MS4A2,HPGDS,CPA3,VWA5A,CD44",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
Lung,2,0.75,"FCN1,SAT1,AIF1,IFITM2,FCGR3A,LILRB2,RHOC",CD16+ Monocyte,,,nonclassical monocyte
Lung,2,0.75,"CDC42EP1,EPAS1,FCN3,BTNL9,CDH5,RAMP3,PODXL",Capillary,,,endothelial cell
Lung,2,0.75,"RPL34,CD8B,GZMH,CCL5,CD8A,NKG7,GZMA",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,cytotoxic T cell
Lung,2,0.75,"WFDC2,KIAA1324,PIGR,CTSE,C16orf89,CEACAM6,SCGB3A2",Club,club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,2,0.75,"CALD1,LTBP1,COL1A1,COL1A2,COL3A1,ITGBL1,POSTN",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
Lung,2,0.75,"GZMB,IRF4,TYROBP,NPC2,IL3RA,PLD4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
Lung,2,0.75,"STMN1,NUSAP1,KPNA2,CDK1,TPX2,H2AFZ,BIRC5",Proliferating Macrophage,,,Proliferating Epithelial Cells
Lung,2,0.75,"HMGB2,KIF2C,AURKB,UBE2C,BIRC5,NUSAP1,SMC4",Proliferating NK/T,,,proliferating cell
Lung,2,0.75,"PLVAP,POSTN,INHBB,ENPP2,EMCN,SPARCL1,COL15A1",Bronchial Vessel,,,fibroblast
Lung,2,0.75,"SCGB3A1,MUC5B,WFDC2,SCGB1A1,BPIFB1,SLPI,MSMB",Mucous,,,club cell
Lung,2,0.75,"SLCO2A1,PRSS23,PLA1A,LIFR,SELP,CPE,SRPX",Vein,,,megakaryocyte
Lung,2,0.75,"COL4A1,CHN1,COX4I2,NID1,LAMC3,COL4A2,TACC1",Pericyte,pericyte,CL:0000669,pulmonary alveolar type 2 cell
Lung,2,0.75,"MYH11,DSTN,CSRP1,MYL9,TPM2,CNN1,CALD1",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,2,0.75,"EPAS1,ARGLU1,HEY1,EFNB2,FBLN5,BMX,SEMA3G",Artery,,,capillary endothelial cell
Lung,2,0.75,"APP,EDNRB,TBX2,HPGD,SOSTDC1,CYP3A5,EMCN",Capillary Aerocyte,,,not_identifiable_with_provided_markers
Lung,2,0.75,"IPO7,EPAS1,SRSF11,VAT1,ACVRL1,GALNT18,PECAM1",Capillary Intermediate,,,endothelial cell
Lung,2,0.75,"HAS1,MEDAG,CPXM1,WT1,OSR1,C3,CCDC71L",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,not_in_database
Lung,2,0.75,"C3,ALDH1A3,PRG4,DSC3,GALNT9,WT1,SLPI",Mesothelial,mesothelial cell,CL:0000077,goblet cell
Lung,2,0.75,"CABP5,ACRBP,TMEM40,ITGA2B,GP9,PF4,TUBB1",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",megakaryocyte
Lung,2,0.75,"GNLY,CXCR4,S100A6,ZFP36L2,CEBPB,CD7,CTSW",Natural Killer T,,,Natural Killer T Cells
Lung,2,0.75,"RAMP1,CNN1,SCX,CST5,FAM150A,CLU,CSRP1",Fibromyocyte,,,Not in database
Lung,2,0.75,"WFDC2,GABRP,CLIC1,COX5A,S100P,CXCL17,PSCA",Goblet,goblet cell,CL:0000160,mixture of cell types
Lung,2,0.75,"HEPACAM2,BSND,FOXI1,STAC2,ATP6V1B1,ASCL3,MFSD6L",Ionocyte,ionocyte,CL:0005006,goblet cell
Lung,2,0.75,"FAM46A,EGR1,CHGA,CPE,BEX1,PRDX2,SEC11C",Neuroendocrine,neuroendocrine cell,CL:0000165,pulmonary neuroendocrine cell
Lung,2,0.75,"PRB3,PHB,LPO,TCN1,ZG16B,PRR4,PRB4",Serous,serous secreting cell,CL:0000313,goblet cell
Lung,2,0.75,"HLA-DRB1,CTSZ,C1QB,C1QA,AIF1,FCER1G,C1QC",Macrophages,macrophage,CL:0000235,macrophage
Lung,2,0.75,"CCL4,PRF1,CTSW,CCL5,GZMB,GZMA,NKG7",Innate lymphoid cell NK,natural killer cell,CL:0000623,cd8+ t cell
Lung,2,0.75,"NAPSA,CYB5A,SLC39A8,PEBP4,SFTPD,SFTA3,SLC34A2",AT2,type II pneumocyte,CL:0002063,alveolar type II cell
Lung,2,0.75,"SPARCL1,CLEC14A,IGFBP7,MGP,PECAM1,RAMP2,RAMP3",EC venous,vein endothelial cell,CL:0002543,endothelial cell
Lung,2,0.75,"CD3D,IL32,CD69,CCL5,CXCR4,CORO1A,TRBC2",T cell lineage,T cell,CL:0000084,cd4+ t cell
Lung,2,0.75,"GIMAP7,TM4SF1,A2M,CLDN5,PECAM1,SOX17,SPARCL1",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell
Lung,2,0.75,"BGN,LUM,C1S,CALD1,DCN,SPARC,COL6A1",Fibroblasts,fibroblast,CL:0000057,myofibroblast cell
Lung,2,0.75,"EMP2,FXYD3,AGER,TSPAN13,ADIRF,CEACAM6,SFTA2",AT1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
Lung,2,0.75,"CD24,TMEM231,C11orf97,SNTN,RP11-295M3.4,GSTA1,FAM229B",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,cell_type_name
Lung,2,0.75,"IGKC,CORO1A,ISG20,CD37,IGHA1,TSC22D3,IGLC2",B cell lineage,B cell,CL:0000236,B cell
Lung,2,0.75,"BPIFB1,TACSTD2,CEACAM6,CXCL17,MUC1,KRT19,KRT7",Secretory,secretory cell,CL:0000151,goblet cell / pulmonary alveolar type 2 cell mixture
Lung,2,0.75,"COTL1,FCN1,AIF1,FCER1G,S100A12,CD14,LST1",Monocytes,monocyte,CL:0000576,macrophage
Lung,2,0.75,"PIP,MARCKSL1,AZGP1,CCL28,SELM,TCN1,PIGR",Submucosal Secretory,,,goblet cell
Lung,2,0.75,"PECAM1,CDH5,CLDN5,AQP1,CLEC14A,EGFL7,SPARCL1",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
Lung,2,0.75,"IGFBP7,ECSCR,TM4SF1,GNG11,MMRN1,RAMP2,SDPR",Lymphatic EC mature,,,endothelial cell
Lung,2,0.75,"TIMP3,TFPI,TCF4,CCL21,TFF3,SDPR,AKAP12",Lymphatic EC differentiating,,,goblet cell
Lung,2,0.75,"GPR183,HLA-DQB1,MS4A6A,HLA-DQA1,ITGB2,HLA-DMA,HLA-DRB1",Dendritic cells,dendritic cell,CL:0000451,alveolar macrophage
Lung,2,0.75,"CTGF,MT1X,CALD1,TPM2,GPX3,PRELP,CYR61",Myofibroblasts,myofibroblast cell,CL:0000186,fibroblast
Lung,2,0.75,"VWA5A,HPGDS,KIT,MS4A2,TPSAB1,RGS13,TPSB2",Mast cells,mast cell,CL:0000097,mast cell
Lung,2,0.75,"NEXN,SELM,LMOD1,PPP1R14A,TPM2,DES,FLNA",Fibromyocytes,,,fibroblast
Lung,2,0.75,"TUBB,ECSCR,COX20,MARCKS,EID1,HMGN2,HMGN1",Lymphatic EC proliferating,,,goblet cell
Lung,2,0.75,"PPFIBP1,MMRN1,TSHZ2,ST6GALNAC3,CD36,LDB2,SEMA3A",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Fibroblast
Lung,2,0.75,"LAMA3,KHDRBS2,LMO7,LIMCH1,RBMS3,RAB11FIP1,EMP2",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
Lung,2,0.75,"ANK3,ABCA3,MACROD2,ZNF385B,ERBB4,PDE4D,SFTPC",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
Lung,2,0.75,"GLIS3,RBMS3,XPR1,EYA2,MACROD2,KRT17,SSBP2",Epithelial cell (basal),basal cell,CL:0000646,pulmonary alveolar type 2 cell
Lung,2,0.75,"STK33,C4orf22,HYDIN,CFAP54,DNAH12,CDHR3,DNAH7",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,goblet cell
Lung,2,0.75,"SCGB3A2,ERBB4,CDK14,SFTPB,NEDD4L,MACROD2,BMPR1B",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,2,0.75,"MEF2C,ST6GAL1,RALGPS2,FBXW7,PLCG2,ARHGAP15,PDK1",Immune (B cell),B cell,CL:0000236,b cell
Lung,2,0.75,"B2M,KLRD1,ARHGAP15,CD247,PARP8,SKAP1,FYN",Immune (NK cell),natural killer cell,CL:0000623,nonclassical monocyte
Lung,2,0.75,"ARHGAP15,FKBP5,PTPRC,THEMIS,PARP8,BCL2,FYN",Immune (T cell),T cell,CL:0000084,eosinophil
Lung,2,0.75,"FMNL2,RNF149,GPCPD1,ZEB2,PLXDC2,MSR1,PPARG",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,lipofibroblast
Lung,2,0.75,"SAMSN1,FER,TPSB2,TPSAB1,SRGN,SYTL3,SLC24A3",Immune (mast cell),mast cell,CL:0000097,mast cell
Lung,2,0.75,"INPP4B,CACNA1C,DMD,TPM1,PRKG1,CALD1,EBF1",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",mixture of multiple cell types
Lung,2,0.75,"LDB2,PTPRM,TCF4,CALCRL,PECAM1,PTPRB,EPAS1",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
Lung,2,0.75,"ROBO2,LAMA2,ARHGAP6,RORA,PLEKHH2,PRKG1,PLXDC2",Fibroblast,fibroblast,CL:0000057,unidentified
Lung,2,0.75,"CTSB,FKBP5,SLC8A1,CHST11,CD74,SRGN,TBXAS1",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",macrophage
Lung,2,0.75,"FOXO1,GHR,G0S2,PLIN1,LPIN1,PLIN2,EBF1",Adipocyte,fat cell,CL:0000136,Lipofibroblast
Lung,2,0.75,"HOPX,EMP2,PDPN",Alveolar Type I,type I pneumocyte,CL:0002062,endothelial cell of lymphatic vessel
Lung,2,0.75,"LAMP3,SLC34A2,NKX2-1",Alveolar Type II,type II pneumocyte,CL:0002063,myeloid dendritic cell and pulmonary alveolar type 2 cell
Lung,2,0.75,"CR2,FAS,CD1c",B cell_memory,memory B cell,CL:0000787,dendritic cell
Lung,2,0.75,"DNAI1,TUBA1A,HYDIN,FOXJ1,FAM92B,CDHR3",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,multiciliated epithelial cell
Lung,2,0.75,"MUC5B,BPIFA1,SCGB3A1,SCGB3A2,SLPI",Club Epithelial,club cell,CL:0000158,secretory cell
Lung,2,0.75,"COL3A1,COL1A1,COL6A1,COL6A2,IL33,COL6A3,FN1,COL5A2,COL18A1,SLIT2,DCN,COL1A2,IGFBP3,COL5A1,IL6,VIM,DDR2,HGF",Fibroblast,fibroblast,CL:0000057,fibroblast
Lung,2,0.75,"CCL21,PROX1,MMRN1,RELN",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
Lung,2,0.75,"LYVE1,MSR1,MERTK,SLC11A1,CD36,MS4A4A,CD163,RBPJ,CSF1R,MR1,CD74,PTPRC,MS4A6A,CD163,C1QA",Macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.75,"FCER1A,TPSAB1,TPSB2,CD69",Mast Cell,mast cell,CL:0000097,mast_cell
