tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_cell_type
Lung,2,0.25,"C7,GENE36,GENE72,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,CPXM1,HAS1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,goblet cell
Lung,2,0.25,"ALDH1A3,PRG4,GENE61,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE46,SLPI",Mesothelial,mesothelial cell,CL:0000077,goblet cell
Lung,2,0.25,"GENE13,CMTM5,TUBB1,GENE89,GRAP2,ITGA2B,CABP5,PF4,ACRBP,GP6,TMEM40,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",cell type not identifiable
Lung,2,0.25,"CD2,GNLY,CTSW,S100A6,GENE64,CCL5,GENE84,CEBPB,CXCR4,CD7,LGALS1,ZFP36L2",Natural Killer T,,,neutrophil
Lung,2,0.25,"CLU,CST5,GENE15,GENE95,MET,FAM150A,HSPB3,RAMP1,CSRP1,IGF1,SCX,CNN1",Fibromyocyte,,,smooth muscle cell
Lung,2,0.25,"CXCL17,S100P,PSCA,COX5A,TXN,GENE64,AGR2,GENE96,FAM3D,GABRP,CLIC1,WFDC2",Goblet,goblet cell,CL:0000160,mucous cell
Lung,2,0.25,"TFF3,GENE13,TMPRSS11E,PHGR1,BSND,FOXI1,HEPACAM2,ATP6V1B1,STAC2,MFSD6L,GENE16,ASCL3",Ionocyte,ionocyte,CL:0005006,goblet cell
Lung,2,0.25,"PCSK1N,EGR1,GENE35,FAM46A,PRDX2,CHGA,SEC11C,SCGN,CPE,GENE46,BEX1,NENF",Neuroendocrine,neuroendocrine cell,CL:0000165,pulmonary endocrine cell
Lung,2,0.25,"TCN1,LPO,PHB,LYZ,GENE44,TESC,ZG16B,PRR4,PRB3,PRH2,GENE64,PRB4",Serous,serous secreting cell,CL:0000313,glandular epithelial cell
Lung,2,0.25,"C1QB,LYZ,GENE41,FCER1G,C1QA,LAPTM5,GENE5,AIF1,C1QC,HLA-DRB1,CTSZ,CTSL",Macrophages,macrophage,CL:0000235,macrophage
Lung,2,0.25,"GNLY,GZMB,CTSW,CST7,CD7,CCL5,NKG7,GZMA,GENE76,GENE46,CCL4,PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,cytotoxic T cell
Lung,2,0.25,"S100A14,SLC34A2,CYB5A,SLC39A8,SFTA2,GENE60,SFTPD,NAPSA,MUC1,GENE75,SFTA3,PEBP4",AT2,type II pneumocyte,CL:0002063,epithelial cell
Lung,2,0.25,"CLEC14A,ACKR1,MGP,RAMP3,RAMP2,GENE80,IGFBP7,GENE60,VWF,GNG11,PECAM1,SPARCL1",EC venous,vein endothelial cell,CL:0002543,endothelial cell
Lung,2,0.25,"CD2,CD3D,IL32,GENE89,CD69,CCL5,TRAC,GENE77,CXCR4,CD3E,TRBC2,CORO1A",T cell lineage,T cell,CL:0000084,T cell
Lung,2,0.25,"CLEC14A,TM4SF1,CLDN5,IFI27,SOX17,GENE17,A2M,CRIP2,GENE28,PECAM1,SPARCL1,GIMAP7",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell
Lung,2,0.25,"CALD1,LUM,C1S,BGN,MGP,IGFBP7,GENE56,GENE29,COL6A1,DCN,COL1A2,SPARC",Fibroblasts,fibroblast,CL:0000057,fibroblast
Lung,2,0.25,"AGER,EMP2,GENE64,FXYD3,SFTA2,CEACAM6,ADIRF,CAV1,KRT7,HOPX,GENE31,TSPAN13",AT1,type I pneumocyte,CL:0002062,type 1 alveolar cell
Lung,2,0.25,"RP11-356K23.1,C12orf75,GSTA1,CD24,GENE57,FAM229B,TMEM231,GENE11,RP11-295M3.4,C11orf97,C5orf49,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,pulmonary alveolar type 2 cell
Lung,2,0.25,"LTB,MS4A1,GENE61,IGHA1,IGLC2,CD79A,TSC22D3,IGKC,GENE38,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,B cell
Lung,2,0.25,"CXCL17,KRT7,BPIFB1,GENE44,GENE10,CEACAM6,TACSTD2,PIGR,MUC1,WFDC2,CP,KRT19",Secretory,secretory cell,CL:0000151,goblet cell
Lung,2,0.25,"CD14,S100A9,S100A8,FCER1G,GENE67,COTL1,LST1,AIF1,VCAN,GENE77,S100A12,FCN1",Monocytes,monocyte,CL:0000576,classical monocyte and neutrophil
Lung,2,0.25,"TCN1,SELM,MARCKSL1,LTF,ZG16B,GENE48,PIP,PIGR,GENE81,CCL28,SEC11C,AZGP1",Submucosal Secretory,,,goblet cell
Lung,2,0.25,"CLEC14A,TM4SF1,CLDN5,AQP1,GENE67,CDH5,GENE79,IFI27,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
Lung,2,0.25,"SDPR,TM4SF1,CLDN5,GENE3,CCL21,RAMP2,ECSCR,IGFBP7,MMRN1,GNG11,PPFIBP1,GENE38",Lymphatic EC mature,,,endothelial cell
Lung,2,0.25,"TFF3,SDPR,AKAP12,CLDN5,TCF4,CCL21,GENE44,IGFBP7,GNG11,GENE92,TIMP3,TFPI",Lymphatic EC differentiating,,,pulmonary endothelial cell
Lung,2,0.25,"HLA-DQB1,GENE89,HLA-DQA1,GENE40,HLA-DPA1,ITGB2,GPR183,HLA-DPB1,HLA-DRB1,HLA-DMA,CORO1A,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,dendritic cell
Lung,2,0.25,"GENE13,CALD1,TPM2,CYR61,MT1X,CTGF,GPX3,IGFBP5,GENE83,SPARCL1,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,goblet cell
Lung,2,0.25,"KIT,GENE50,VWA5A,C1orf186,CPA3,HPGDS,MS4A2,TPSB2,GENE85,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,mast cell
Lung,2,0.25,"TPM2,PLN,LMOD1,IGFBP7,FLNA,GENE88,GENE28,ACTG2,SELM,PPP1R14A,DES,NEXN",Fibromyocytes,,,smooth muscle cell
Lung,2,0.25,"S100A16,EID1,ECSCR,GENE93,MARCKS,TUBB,ARPC1A,GENE18,HMGN1,LSM2,COX20,HMGN2",Lymphatic EC proliferating,,,neutrophil
Lung,2,0.25,"FBXL7,GENE57,LDB2,TSHZ2,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36,GENE32",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of artery
Lung,2,0.25,"LMO7,RAB11FIP1,EMP2,GENE32,NCKAP5,RBMS3,NTM,KHDRBS2,GENE6,LIMCH1,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
Lung,2,0.25,"MACROD2,AUTS2,GENE30,ZNF385B,SFTPC,ABCA3,ANK3,GENE17,SFTPB,PDE4D,LRRK2,ERBB4",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,type II alveolar cell
Lung,2,0.25,"MACROD2,GLIS3,SSBP2,GENE67,EYA2,XPR1,RBMS3,KRT17,GENE49,TP63,FAF1,CACHD1",Epithelial cell (basal),basal cell,CL:0000646,mixture of various epithelial cells with potential squamous differentiation
Lung,2,0.25,"TMEM232,DNAH12,CFAP54,DNAH7,STK33,HYDIN,GENE56,CDHR3,GENE60,LRRIQ1,AGBL4,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,ciliated epithelial cell
Lung,2,0.25,"NEDD4L,MACROD2,SCGB3A2,CDK14,GENE78,GENE74,MECOM,BMPR1B,KIAA1217,SFTPB,ERBB4,KIAA1324",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
Lung,2,0.25,"GENE13,PDK1,FBXW7,ARHGAP15,PLCG2,ST6GAL1,GENE88,CREB3L2,FCHSD2,RALGPS2,DENND5B,MEF2C",Immune (B cell),B cell,CL:0000236,undetermined
Lung,2,0.25,"GENE21,PIP4K2A,B2M,FYN,GENE91,SKAP1,ARHGAP15,PRKCH,KLRD1,PARP8,AOAH,CD247",Immune (NK cell),natural killer cell,CL:0000623,natural killer t cell
Lung,2,0.25,"GENE45,FYN,FKBP5,GENE93,BCL2,PTPRC,SYTL3,ARHGAP15,PARP8,THEMIS,ITK,SKAP1",Immune (T cell),T cell,CL:0000084,Unable to determine based on provided markers
Lung,2,0.25,"ZEB2,DOCK8,FMNL2,GPCPD1,SLC11A1,PPARG,RNF149,GENE87,TFRC,GENE88,PLXDC2,MSR1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage
Lung,2,0.25,"KIT,SAMSN1,GENE27,IL18R1,FER,GENE80,TPSB2,SLC24A3,SRGN,SYTL3,ARHGAP15,TPSAB1",Immune (mast cell),mast cell,CL:0000097,mast cell
Lung,2,0.25,"GENE39,CALD1,INPP4B,GENE24,CACNA1C,TPM1,PRKG1,ACTA2,DMD,EBF1,LPP,MYH11",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",pulmonary smooth muscle cell
Lung,2,0.25,"PTPRB,PTPRM,GENE61,TCF4,LDB2,GENE35,ST6GALNAC3,TIMP3,PECAM1,CALCRL,EPAS1,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
Lung,2,0.25,"GENE15,LAMA2,PLEKHH2,ROBO2,LSAMP,RBMS3,PRKG1,ARHGAP6,RORA,SLIT2,PLXDC2,GENE97",Fibroblast,fibroblast,CL:0000057,smooth muscle cell
Lung,2,0.25,"TBXAS1,ZEB2,GENE54,FKBP5,CD74,PIK3R5,CHST11,SRGN,PLXDC2,GENE14,SLC8A1,CTSB",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",macrophages
Lung,2,0.25,"PLIN2,GHR,ADIPOQ,LPIN1,PPARG,GENE37,PLIN1,GENE71,FOXO1,EBF1,G0S2,ACSL1",Adipocyte,fat cell,CL:0000136,adipocyte
Lung,2,0.25,"GENE36,AGER,EMP2,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar epithelial cell type I
Lung,2,0.25,"NKX2-1,SLC34A2,LAMP3,SFTPC,SFTPB,GENE23",Alveolar Type II,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
Lung,2,0.25,"CD24,GENE95,CXCR3,CD1c,FAS,CR2",B cell_memory,memory B cell,CL:0000787,b cell
Lung,2,0.25,"TUBA1A,HYDIN,GENE93,FAM92B,GENE80,FOXJ1,DNAH5,DNAI1,DNAI2,CDHR3",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
Lung,2,0.25,"SCGB3A2,SCGB1A1,BPIFA1,SCGB3A1,GENE38,SLPI,MUC5B,CYP2F2",Club Epithelial,club cell,CL:0000158,"club cell, goblet cell"
Lung,2,0.25,"GENE98,NEGR1,COL4A1,GENE77,GENE16,COL5A1,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,GENE52,HGF,COL18A1,COL6A3,GENE5,FBLN1,DCN,SLIT2,FN1,DDR2,CCN2,IGFBP3,COL6A6,GENE37,IL6,COL3A1,COL6A1,COL1A2,COL6A2",Fibroblast,fibroblast,CL:0000057,pulmonary fibroblast
Lung,2,0.25,"RELN,FLT4,CCL21,MMRN1,PROX1,LYVE1,GENE41",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
Lung,2,0.25,"GENE30,LYZ,GENE33,C1QA,PTPRC,LYVE1,CD68,MSR1,GENE43,SLC11A1,MERTK,CPM,CD163,MS4A6A,RBPJ,MS4A4A,CD74,CD36,GENE21,GENE60,MR1,CSF1R,MRC1",Macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.25,"KIT,HDC,TPSB2,CD69,GENE28,FCER1A,TPSAB1",Mast Cell,mast cell,CL:0000097,mast cell
Lung,2,0.25,"MYO1B,GENE7,CSPG4,MCAM,GENE28,ACTA2,ANPEP,DES,PDGFRB",Pericyte,pericyte,CL:0000669,pericyte
Lung,2,0.25,"CNN1,MYOCD,GENE30,ACTN1,GENE34,GENE46,GUCY1B3,SMTN,ACTA2,ACTG2,PALLD,VCL,MYL9,GUCY1A3,MYH11,DES,TAGLN",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,2,0.25,"TRBC1,CD3D,GENE15,CD3G,GENE81,CD69,PTPRC,CD247,NKG7,CD96,IL7R,TRAC,CD3E,THEMIS,GENE51,SKAP1",T cell,T cell,CL:0000084,T lymphocyte
Lung,2,0.25,"PTPRB,GENE94,CLDN5,NOSTRIN,LDB2,RAMP3,VWF,GENE48,EPHB4,PECAM1,BACE2,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell
Lung,2,0.25,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,alveolar type II cell
Lung,2,0.25,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,neutrophil
Lung,2,0.25,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T cell
Lung,2,0.25,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,natural killer T cell
Lung,2,0.25,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,natural killer t cell
Lung,2,0.25,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,lung fibroblast
Lung,2,0.25,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,2,0.25,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,fibroblast
Lung,2,0.25,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.25,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,mast cell
Lung,2,0.25,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,neutrophil
Lung,2,0.25,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell
Lung,2,0.25,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell
Lung,2,0.25,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,conventional dendritic cell
Lung,2,0.25,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,club cell
Lung,2,0.25,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,basal epithelial cell
Lung,2,0.25,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,plasma cell
Lung,2,0.25,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cell
Lung,2,0.25,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell
Lung,2,0.25,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage
Lung,2,0.25,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell
Lung,2,0.25,"EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,endothelial cell
Lung,2,0.25,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,smooth muscle cell
Lung,2,0.25,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
Lung,2,0.25,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS",alveolar fibroblast,,,fibroblast
Lung,2,0.25,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lung lymphatic endothelial cell
Lung,2,0.25,"MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell
Lung,2,0.25,"AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,Cell type not identifiable with the provided markers
Lung,2,0.25,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB",club cell,club cell,CL:0000158,club cell
Lung,2,0.25,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell
Lung,2,0.25,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,endothelial cell of artery
Lung,2,0.25,"AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,pulmonary alveolar type 2 cell
Lung,2,0.25,"COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2",pericyte cell,pericyte,CL:0000669,fibroblast
Lung,2,0.25,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1",mesothelial cell,mesothelial cell,CL:0000077,club cell
Lung,2,0.25,"AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
Lung,2,0.25,"FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,lung macrophage
Lung,2,0.25,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell
Lung,2,0.5,"ARHGEF26,GENE26,LMO7,AGER,EMP2,GENE33,GENE93,RTKN2,GPRC5A,SPOCK2,GENE56,DST,SCEL,LAMA3,GENE73",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,type II pneumocyte
Lung,2,0.5,"GENE58,GENE62,MS4A1,LINC00926,BLK,SP140,GENE44,CD79A,GENE34,GENE56,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,pulmonary alveolar type 2 cell
Lung,2,0.5,"CLDN1,S100A2,GENE36,GENE54,GENE87,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE20,GENE99,ITGA2,KRT19",Basal,basal cell,CL:0000646,basal epithelial cell
Lung,2,0.5,"CSF3R,S100A9,S100A8,CTSS,METTL9,GENE67,GENE70,CD99,VCAN,GENE76,S100A12,GENE85,GENE75,FCN1,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
Lung,2,0.5,"CD2,MALAT1,GENE1,BCL11B,GENE57,GENE67,CD6,GENE96,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE43",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell
Lung,2,0.5,"GENE63,GENE20,C20orf85,DNAH6,FAM92B,GENE32,GENE31,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1,GENE55",Ciliated,ciliated cell,CL:0000064,goblet cell
Lung,2,0.5,"FCGR2B,HLA-DMB,GENE79,HLA-DQA1,CLEC10A,CSF2RA,GENE24,GPR183,FPR3,GENE56,HLA-DPB1,RGS1,GENE74,GENE6,MS4A6A",Dendritic,dendritic cell,CL:0000451,intermediate monocyte
Lung,2,0.5,"C1S,LUM,ABLIM1,CFD,GENE3,C3,C1R,GENE90,GENE53,FBLN1,DCN,GENE85,SLIT2,GENE31,ADH1B",Fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
Lung,2,0.5,"TFF3,TFPI,CCL21,GENE68,GENE37,GENE25,GENE87,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,TIMP3,GENE43,TBX1",Lymphatic,,,not identified
Lung,2,0.5,"APOC1,GENE19,GENE73,C1QB,GENE36,GENE35,C1QA,VSIG4,SLCO2B1,GENE69,ACP5,ITGAX,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,macrophage
Lung,2,0.5,"GENE45,KLRF1,GNLY,GZMB,GENE69,GENE10,GENE86,GENE32,FCGR3A,NKG7,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,natural killer cell
Lung,2,0.5,"PRDX4,MANF,SSR4,GENE63,XBP1,POU2AF1,TNFRSF17,GENE61,GENE68,HSP90B1,GENE96,GENE14,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,neuroendocrine cell
Lung,2,0.5,"SFTPA2,GENE36,GENE93,SLC34A2,SFTPC,LAMP3,ABCA3,GENE56,GENE46,SFTPA1,SFTPD,SFTPB,NAPSA,LPCAT1,GENE59",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar epithelial cell
Lung,2,0.5,"KIT,GENE94,GENE9,VWA5A,CPA3,HPGDS,GRAP2,GENE3,GENE33,HDC,GENE18,CD44,MS4A2,TPSAB1,GATA2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
Lung,2,0.5,"LILRB2,GENE61,GENE86,COTL1,RPS19,GENE87,LST1,AIF1,FCGR3A,GENE46,GENE70,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,intermediate monocyte
Lung,2,0.5,"CDC42EP1,GENE54,GENE98,NOSTRIN,PODXL,CDH5,RAMP3,GENE18,BTNL9,GENE93,CD81,FCN3,EPAS1,FLNB,GENE73",Capillary,,,endothelial cell
Lung,2,0.5,"GENE82,GENE94,CD3D,GZMH,GENE35,CD3G,CD8B,GENE44,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27,GENE83",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,cytotoxic T cell
Lung,2,0.5,"GENE62,SCGB3A2,GENE30,DSTN,CYB5A,CEACAM6,PIGR,GENE85,CTSE,SFTPB,GENE81,WFDC2,C16orf89,GENE53,KIAA1324",Club,club cell,CL:0000158,goblet cell
Lung,2,0.5,"GENE1,CALD1,ASPN,COL6A3,POSTN,LTBP1,BGN,GENE3,GENE40,GENE11,COL3A1,COL1A1,COL1A2,GENE99,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
Lung,2,0.5,"GENE13,GENE52,PTPRE,GZMB,IRF7,TYROBP,GENE80,GENE46,PLD4,NPC2,PPP1R14B,IL3RA,GENE43,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
Lung,2,0.5,"TPX2,BIRC5,NUSAP1,STMN1,GENE61,UBE2C,TYMS,ANLN,KPNA2,GENE92,CDK1,GENE48,GENE91,GENE49,H2AFZ",Proliferating Macrophage,,,proliferating cell
Lung,2,0.5,"BIRC5,GENE94,GENE62,NUSAP1,KIF2C,SMC4,UBE2C,GENE18,H2AFV,GENE29,AURKB,CENPF,HMGB2,TOP2A,GENE83",Proliferating NK/T,,,pulmonary alveolar type 2 cell
Lung,2,0.5,"GENE45,GENE1,GENE82,POSTN,VWF,GENE92,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1,GENE75",Bronchial Vessel,,,pulmonary alveolar type 2 cell
Lung,2,0.5,"GENE26,GENE33,BPIFB1,GENE24,SAA1,SCGB1A1,RARRES1,MSMB,GENE42,SCGB3A1,GENE43,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,goblet cell
Lung,2,0.5,"PTPRB,GENE26,GENE35,PRSS23,TGM2,GENE5,VWF,LIFR,SELP,PLA1A,GENE83,CPE,SRPX,SLCO2A1,GENE41",Vein,,,vascular endothelial cell
Lung,2,0.5,"CHN1,CALD1,COL4A2,GENE21,GENE50,GENE72,NID1,COL4A1,LAMB1,COX4I2,GENE91,GENE74,TACC1,PDGFRB,LAMC3",Pericyte,pericyte,CL:0000669,pericyte
Lung,2,0.5,"GENE100,CALD1,TPM2,PLN,GENE66,GENE21,DSTN,GENE80,CSRP1,ACTA2,CNN1,GENE53,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,2,0.5,"PTPRB,GENE1,DKK2,HEY1,GJA5,FBLN5,SEMA3G,GENE10,EFNB2,BMX,GENE84,GENE38,EPAS1,GENE31,ARGLU1",Artery,,,endothelial cell
Lung,2,0.5,"GENE94,HPGD,CYP3A5,CLDN5,GENE54,GENE74,APP,GENE44,GENE25,STXBP6,TBX2,EMCN,SOSTDC1,ESAM,EDNRB",Capillary Aerocyte,,,endothelial cell
Lung,2,0.5,"GENE94,IPO7,SH3BP5,RALA,GALNT18,GENE34,GENE25,GENE80,GENE12,SRSF11,PECAM1,ACVRL1,EPAS1,VAT1,WWTR1",Capillary Intermediate,,,endothelial cell
Lung,2,0.5,"C7,GENE50,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,GENE40,GENE18,CPXM1,GENE88,HAS1,GENE97",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,goblet cell
Lung,2,0.5,"ALDH1A3,PRG4,GENE79,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE34,GENE60,SLPI,GENE4,GENE53",Mesothelial,mesothelial cell,CL:0000077,goblet cell
