cluster,markers,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt4o_annotation,gpt4o_CLname,gpt4o_CLID,gpt4o_broadtype,gpt4o_word_annotation,gpt4o_word_CLname,gpt4o_word_CLID,gpt4o_word_broadtype,gpt4o_self_annotation,gpt4o_self_CLname,gpt4o_self_CLID,gpt4o_self_broadtype,gpt4o_ref_annotation,gpt4o_ref_CLname,gpt4o_ref_CLID,gpt4o_ref_broadtype
16.2,"SHANK2, GMDS, PDE4D, ETV6, RBM47, KCNMA1, EHF, DTNB, MEIS2, BARX2, SHROOM3, PACS1, ERBB4, PATJ, FHIT, SORBS2, MAML2, NAALADL2, NFIA, INSR, CCL28, C4orf19, NEBL, ITPR2, CCSER1, SLC12A2, PPP1R9A, MCC, RERE, ANK3, CHPT1, PLCB1, ARHGEF28, WNT5B, ACSM3, ESRRG, CHRM3, FARP1, KRT19, CADPS2, PPM1L, WNK2, ATL2, PCAT1, TAOK3, NCALD, PDGFC, MEIS1, NT5C2, SIPA1L3, SH3RF1, LRBA, UNC5C, STK39, BAZ2B, MAST4, STOX2, AKAP13, LRMDA, PTPRK, SNHG14, FMNL2, PAN3, CDK6, GNAS",Salivary_epithelium,salivary gland cell,CL:0009005,epithelial cell,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,16: Epithelial progenitor cells (mixture),basal cell,CL:0000646,stem cell,16: Epithelial cells,epithelial cell,CL:0000066,epithelial cell
17.2,"AC016205.1, PDE4D, GMDS, MEIS2, DIAPH3, PLCB1, CHRM3, ERBB4, BRIP1, CENPP, LINC01572, SYNE2, TMEM108, NSD2, PDGFC, KANK1, DTNB, KCNMA1, CACNB4, WWOX, STARD13, FAF1, RAD51B, NAV2, SPIDR, ITGA6, NFIB, MCC, ITGA9, NFIA, PATJ, RANBP17, FRMD4B, CCSER1, STAG1, C4orf19, RBM47, MEIS1, CELF2, CDKAL1, DIAPH2",Salivary_epithelium_cycling,salivary gland cell,CL:0009005,epithelial cell,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,17: Epithelial progenitor cells (mixture),basal cell,CL:0000646,stem cell,17: Neural progenitor cells,neural progenitor cell,CL:0011020,progenitor cell
18.2,"COL1A2, COL1A1, CLU, COL24A1, NRG1, LINC01060, SPARC, DSPP, SLC38A11, PHEX, DOK6, GRAMD1B, MMP20, NES, AMBN, RETREG1, CREB3L1, SLC4A10, COL11A2, ADAMTS12, SATB2, MAP1B, NRG3, PCDH9, PCDH7, RASSF8, SEMA5A, MAGI2, MIR181A1HG, UTRN, FGFR1, MARCH3, AFF1, KIF26B, COLEC12, TRPM7, DCLK1, MYO1E, HIP1, AFAP1, TPST1, SLIT3, PDE4B, MTSS1, LARGE1, COL5A1, DST, IL1RAPL1, ZSWIM6, COL5A2, PLXDC2, PTN, ROBO1, FHOD3, NAV3, PDZD2, NLGN1, AGAP1, RBFOX2, EML4, COL27A1, CDK14, MAP4K3, CNTN4, SORBS2, RUNX2, PTPRK, SMYD3, MSI2, FNDC3B",Odontoblasts,odontoblast,CL:0000060,mesenchymal cell,Osteoblasts,osteoblast,CL:0000062,osteoblast,Odontoblasts,odontoblast,CL:0000060,mesenchymal cell,18: Osteocytes (mixture),osteocyte,CL:0000137,,18: Osteoblasts,osteoblast,CL:0000062,osteoblast
0.3,"LDB2, PTPRM, EBF1, EMCN, TCF4, NRP1, PECAM1, PTPRG, MECOM, IGFBP7, HSPG2, COL4A1, NAV3, SPTBN1, PLEKHG1, ELMO1, PRKCH, ZFPM2, RASAL2, DOCK9, ADAMTS9, PEAK1, COL4A2, SASH1, ABLIM1, LRMDA, APBB2, ARL15, FLRT2, FBXL7, MAGI1, DOCK4, SSH2, UTRN, ZNF521, DLC1, MAP4K4, BMPR2, TTC28, MACF1, TRIO, GNAQ, ASAP1, PTK2, DIAPH2, PPP3CA, STOX2",Ednothelial_cells,endothelial cell,CL:0000115,endothelial cell,Endothelial cell,endothelial cell,CL:0000115,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,0: Endothelial cells,endothelial cell,CL:0000115,endothelial cell
1.3,"GPC6, BNC2, TENM3, FBXL7, SGCZ, MIR100HG, LSAMP, SLIT3, NAV3, CNTNAP2, NLGN1, COL1A2, EBF1, SGCD, ADGRL3, PRRX1, SEMA3A, PTPRD, COL12A1, CDH11, KCNQ1OT1, ADGRB3, GRID2, FRMD4A, ROBO2, AFF3, SLIT2, CDK14, SETBP1, NCAM2, PCDH9, FBN2, IL1RAPL1, COL5A2, DLC1, PRKG1, BICC1, FLRT2, LDB2, ROBO1, GSE1, ZFHX3, PALLD, EFNA5, TMTC2, TTC28, PTPRG, MIR99AHG, DLG2, TRIO, PLXDC2, ROR1, RBFOX2",Jaw_Mesenchyme,mesenchymal�stem�cell�of�the�bone�marrow,CL:0002540,mesenchymal cell,Neuronal cell,neuron,CL:0000540,neuron,Neuronal cells,neuron,CL:0000540,neuron,Neuronal Cells,neuron,CL:0000540,neuron,1: Neural progenitor cells,neural progenitor cell,CL:0011020,progenitor cell
2.3,"RUNX2, COL1A1, COL1A2, FAT3, SATB2, UST, COL24A1, SOX6, ANO5, SLIT3, CD36, COL11A1, MEF2C, MYO10, SLC8A3, COL13A1, MAMDC2, CDH2, MIR181A1HG, ZBTB7C, SDK2, NCAM1, ELMO1, NEAT1, COL5A2, CPE, COL5A1, PCDH9, GPC6, GSN, CDH11, MAGI2, LDLRAD4, LGR4, MALAT1, ROBO2, ADGRB3, NAV3, CDK14, SPARC, TENM3, TRPS1, SLIT2, DLEU2, TMTC2, CADM1, DLG2, SEC31A, ROR2, PSD3, SND1, CLMP, FHOD3, KLF12, ZFHX3, LSAMP, SH3PXD2B, MAP4, KCNQ1OT1, GLG1, FGFR1, ROBO1, PRKG1, LMNA, SIK3, PLEKHA5, AHCYL2, EML4, JMJD1C, MAML3, RABGAP1L, PTPRG, FNDC3B, ADK, IGF2BP2, FRMD4B, RBFOX2, PALLD",Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblast,osteoblast,CL:0000062,osteoblast,Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblasts,osteoblast,CL:0000062,osteoblast,2: Osteoblasts,osteoblast,CL:0000062,osteoblast
3.3,"PAX7, AL589740.1, PCDH7, CLCN5, RBFOX1, DLG2, CDH13, LINC01266, ZEB2, NCOA1, PRKG1, GPC3, SPATS2L, FOXP2, SSH2, CELF2, TLN2, KCNQ1OT1, MEG3, TRIO, QKI, TCF4, RBFOX2, CUX1, CDK6, ADGRL3, FBXL7, MACF1, TTC28",Skeletal_myoblasts,skeletal muscle myoblast,CL:0000515,stem cell,Muscle progenitor cell,skeletal muscle myoblast,CL:0000515,stem cell,Neuronal progenitor cells,neural stem cell,CL:0000047,stem cell,Muscle Satellite Cells,skeletal�muscle�satellite�cell,CL:0000594,,3: Neural progenitor cells,neural progenitor cell,CL:0011020,progenitor cell
4.3,"TTN, MYH3, NEB, RYR1, MYBPC1, TNNT3, LDB3, MYLPF, MYOM1, ACTN2, AGBL1, MEF2C, RBFOX1, TPM2, ANK2, MEG8, MEG3, LAMA2, CACNA2D1, DMD, HIF3A, FGF13, SGCD, PALLD, CELF2, LRRFIP1, GNAS, PRKG1, MICU1, MAP4, DLG2, SPTBN1, TMEM108, MACF1, KIF1B, SVIL, NCOA1, NAV2, QKI, PPP1R9A, RBFOX2, AKAP9",Skeletal_myocytes,cell of skeletal muscle,CL:0000188,muscle cell,Skeletal muscle cell,cell of skeletal muscle,CL:0000188,muscle cell,Muscle cells,muscle cell,CL:0000187,muscle cell,Skeletal Muscle Cells,cell of skeletal muscle,CL:0000188,muscle cell,4: Skeletal muscle cells,cell of skeletal muscle,CL:0000188,muscle cell
6.3,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, S100A9, SPINK5, SPRR3, KRT4, DSG3, AC068051.1, DSP, DSC2, EMP1, KRT17, ANXA1, PERP, PPL, KRT5, NEAT1, DOCK3, AHNAK, CAST, ANXA2, ACTG1, PITX1, RPLP1, RAB11FIP1, CDH1, CUX1, ACTB, TMOD3, ABLIM1, KRT19, LINC00511, CAMK1D, PSD3, RAB10, PTPRF, SLC24A3, FER, VIM, EXOC6B, MALAT1, NEBL, PDZD2, ADGRL2, EGFR, GTF2IRD1, KDM2A, ROBO2, ARL15, DLG1",Oral_epithelium,oral mucosa squamous cell,CL:1001576,epithelial cell,Keratinocyte,keratinocyte,CL:0000312,epithelial cell,Squamous epithelial cells,squamous epithelial cell,CL:0000076,epithelial cell,Keratinocytes,keratinocyte,CL:0000312,epithelial cell,6: Keratinocytes,keratinocyte,CL:0000312,epithelial cell
7.3,"KRT17, KRT5, NLGN1, PRKCA, CASC15, SLC20A2, DST, TNFRSF19, LINC01060, CUX2, PLXDC2, SCUBE3, MIR99AHG, MPPED1, RYR2, ENOX1, KCNIP4, RPLP1, FRAS1, BNC2, ROR2, PSD3, PCDH7, ARHGAP26, SDK1, ADGRL3, TENM3, AFF3, MSI2, CNTN4, EXOC6B, MACF1, LAMB1, C9orf3, ATXN1, CUX1, AHCYL2, MAGI1, TRIO, NRXN3, FGFR2, KANK1, HMGA2, WWOX, FLNB, GRIP1, MAML3, EFNA5, ASAP1, GTF2IRD1, PALLD, CADM1",Dental_epithelium,preameloblast,CL:0007000,epithelial cell,Neural stem cell,neural stem cell,CL:0000047,stem cell,Keratinocytes,keratinocyte,CL:0000312,epithelial cell,Progenitor/Stem Cells,mesenchymal stem cell,CL:0000134,stem cell,7: Keratinocytes,keratinocyte,CL:0000312,epithelial cell
9.3,"SGCZ, COL1A1, COL1A2, GPC6, VIM, COL12A1, MIR100HG, TENM3, BNC2, ACTG1, EBF1, NCAM2, NAV3, CNTNAP2, FBN2, CDH11, COL3A1, ADGRL3, COL5A1, SLIT2, IGFBP5, SGCD, COL6A2, LSAMP, PCDH9, COL5A2, PRRX1, FOXP2, NLGN1, KCNQ1OT1, ALCAM, CDK14, ZFHX3, FLRT2, AFF3, FRMD4A, SETBP1, SLIT3, CAMK1D, GSE1, TRIO, SDK1, PALLD",Respiratory_epithelium,respiratory epithelial cell,CL:0002368,epithelial cell,Mesenchymal stem cell,mesenchymal stem cell,CL:0000134,stem cell,Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell,Fibroblasts with Neuronal Progenitors,neural progenitor cell,CL:0011020,progenitor cell,9: Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell
10.3,"ROBO1, DLG2, SOX5, CDH12, KCNIP4, COL3A1, LSAMP, SATB2, COL1A1, COL1A2, NLGN1, TMTC2, PTPRD, HDAC9, RUNX2, PTCH1, PTN, NRXN1, CDH11, VCAN, RSPO4, PLXDC2, GALNTL6, CACNB2, ROBO2, ADGRL3, NRG3, SYT1, AC109466.1, HMGA2, TMEM132C, VIM, GPC6, CDH13, SLIT3, CASC15, NEGR1, TMTC1, FGF13, EPHA3, KIF26B, FBN2, NFIC, IL1RAPL1, CNTN4, FBXL7, AFF3, FAT3, ROR2, TENM3, CLMP, PCDH9, COL6A2, PRRX1, KAZN, FLRT2, PDE5A, PRKG1, KLF12, PTPRG, PRKD1, GLI3, TEAD1, PHIP, RBFOX2, DLC1, TTC28, FRMD4A, PPP3CA, SETBP1",Dental_mesenchyme,dental pulp cell,CL:4030035,mesenchymal cell,Osteogenic precursor,osteoblast,CL:0000062,osteoblast,Mesenchymal cells,mesenchymal cell,CL:0008019,mesenchymal cell,Osteogenic Mesenchymal Progenitors,osteoblast,CL:0000062,osteoblast,10: Osteoblasts,osteoblast,CL:0000062,osteoblast
11.3,"SFMBT2, AFF3, PRKCA, ELMO1, FCHSD2, RBPJ, RUNX1, LRMDA, QKI, ITPR2, MBNL1, PLXDC2, CELF2, FRMD4A, RABGAP1L, DIAPH2",Immune_cells,leukocyte,CL:0000738,immune cell,Hematopoietic progenitor cell,hematopoietic multipotent progenitor cell,CL:0000837,progenitor cell,Neuronal progenitor cells,neural stem cell,CL:0000047,stem cell,Hematopoietic Progenitors,hematopoietic multipotent progenitor cell,CL:0000837,progenitor cell,11: Hematopoietic stem cells,hematopoietic stem cell,CL:0000037,stem cell
12.3,"CNTNAP2, ANK2, KCNIP4, NCAM2, CTNNA2, LINGO2, DSCAM, XKR4, FAM155A, NCAM1, KCNH7, FSTL5, CADPS, ALK, PLXNA4, HS6ST3, RIMS2, CTNND2, MYT1L, SYT1, AKAP6, NRG1, KCNB2, CACNA2D1, NRXN1, CNTN5, KIAA1211, RBFOX1, GRID2, SLC8A1, ENOX1, SEMA6D, ADGRL3, ADGRB3, LSAMP, BNC2, PCDH9, DCLK1, DPYD, MAGI2, KCNQ5, PTPRG, FGF13, NRG3, CLASP2, GPC6, MAP1B, LRP1B, CSMD1, BICD1, EBF1, CAMTA1, SDK1, FRMD4A, AFF3, DLG2, NBEA, SLIT3, DLGAP1, MEG3, PLEKHA5, KALRN, CADM1, DST, DMD, TRIO, CNTN4, UNC5C, ZSWIM6, GSE1, MACROD2, TRIM2, MAML3, TCF4, PTPRD, ANK3, SMYD3, NCOA1",Neuronal,neuron,CL:0000540,neuron,Neuronal cell,neuron,CL:0000540,neuron,Neuronal cells,neuron,CL:0000540,neuron,Neuronal Cells,neuron,CL:0000540,neuron,12: Neural progenitor cells,neural progenitor cell,CL:0011020,progenitor cell
14.3,"GMDS, NAALADL2, CCL28, KRT19, TFCP2L1, NEBL, BARX2, EHF, MAML2, SORBS2, TSHZ2, SHANK2, ETV6, SHROOM3, ATL2, RBM47, ACSM3, PRICKLE1, PPM1L, THSD4, EFNA5, MEIS2, WNT5B, KCNMA1, FHIT, PPP1R9A, IMMP2L, AGAP1, INSR, KIAA1217, PATJ, PKP4, PACS1, LRMDA, PTPRK, ANK3, ITPR2, UBE2H, PBX1, DTNB, PALLD, FARP1, GPHN, SIPA1L3, BAZ2B",Salivary_ductal_cells,striated cell of salivary gland,CL:4052049,epithelial cell,Epithelial cell,epithelial cell,CL:0000066,epithelial cell,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,14: Epithelial cells,epithelial cell,CL:0000066,epithelial cell
15.3,"DMD, FBXO32, FGFR1, NFIB, FGFR2, KAZN, PDE4D, PLCB1, MTSS1, PTPN14, CACNB4, KANK4, AL139383.1, MRTFA, ERBB4, FHOD3, CELF2, KIAA1217, MAML2, NRXN3, CHRM3, FRMD4B, PDGFC, COL4A2, STARD13, AHCYL2, NFAT5, LPP, PARD3, IMMP2L, PBX1, MEIS1, FNDC3B, NPAS3, NEDD4L, SYNE2, ARHGAP24, SVIL, EXOC6B, NXN, PKP4, ADK",Myoepithelial_cells,myoepithelial cell,CL:0000185,epithelial cell,Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Osteoblastlike cells,osteoblast,CL:0000062,osteoblast,Muscle Progenitors,skeletal muscle myoblast,CL:0000515,stem cell,15: Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell
16.3,"SHANK2, GMDS, PDE4D, ETV6, RBM47, KCNMA1, EHF, DTNB, MEIS2, BARX2, SHROOM3, PACS1, ERBB4, PATJ, FHIT, SORBS2, MAML2, NAALADL2, NFIA, INSR, CCL28, C4orf19, NEBL, ITPR2, CCSER1, SLC12A2, PPP1R9A, MCC, RERE, ANK3, CHPT1, PLCB1, ARHGEF28, WNT5B, ACSM3, ESRRG, CHRM3, FARP1, KRT19, CADPS2, PPM1L, WNK2, ATL2, PCAT1, TAOK3, NCALD, PDGFC, MEIS1, NT5C2, SIPA1L3, SH3RF1, LRBA, UNC5C, STK39, BAZ2B, MAST4, STOX2, AKAP13, LRMDA, PTPRK, SNHG14, FMNL2, PAN3, CDK6, GNAS",Salivary_epithelium,salivary gland cell,CL:0009005,epithelial cell,Epithelial cell,epithelial cell,CL:0000066,epithelial cell,Glandular epithelial cells,glandular epithelial cell,CL:0000150,epithelial cell,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,16: Epithelial cells,epithelial cell,CL:0000066,epithelial cell
17.3,"AC016205.1, PDE4D, GMDS, MEIS2, DIAPH3, PLCB1, CHRM3, ERBB4, BRIP1, CENPP, LINC01572, SYNE2, TMEM108, NSD2, PDGFC, KANK1, DTNB, KCNMA1, CACNB4, WWOX, STARD13, FAF1, RAD51B, NAV2, SPIDR, ITGA6, NFIB, MCC, ITGA9, NFIA, PATJ, RANBP17, FRMD4B, CCSER1, STAG1, C4orf19, RBM47, MEIS1, CELF2, CDKAL1, DIAPH2",Salivary_epithelium_cycling,salivary gland cell,CL:0009005,epithelial cell,Epithelial cell,epithelial cell,CL:0000066,epithelial cell,Glandular epithelial cells,glandular epithelial cell,CL:0000150,epithelial cell,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,17: Epithelial cells,epithelial cell,CL:0000066,epithelial cell
18.3,"COL1A2, COL1A1, CLU, COL24A1, NRG1, LINC01060, SPARC, DSPP, SLC38A11, PHEX, DOK6, GRAMD1B, MMP20, NES, AMBN, RETREG1, CREB3L1, SLC4A10, COL11A2, ADAMTS12, SATB2, MAP1B, NRG3, PCDH9, PCDH7, RASSF8, SEMA5A, MAGI2, MIR181A1HG, UTRN, FGFR1, MARCH3, AFF1, KIF26B, COLEC12, TRPM7, DCLK1, MYO1E, HIP1, AFAP1, TPST1, SLIT3, PDE4B, MTSS1, LARGE1, COL5A1, DST, IL1RAPL1, ZSWIM6, COL5A2, PLXDC2, PTN, ROBO1, FHOD3, NAV3, PDZD2, NLGN1, AGAP1, RBFOX2, EML4, COL27A1, CDK14, MAP4K3, CNTN4, SORBS2, RUNX2, PTPRK, SMYD3, MSI2, FNDC3B",Odontoblasts,odontoblast,CL:0000060,mesenchymal cell,Fibroblast,fibroblast,CL:0000057,fibroblast,Neuronal cells,neuron,CL:0000540,neuron,Osteoblasts,osteoblast,CL:0000062,osteoblast,18: Osteoblasts,osteoblast,CL:0000062,osteoblast
0.4,"LDB2, PTPRM, EBF1, EMCN, TCF4, NRP1, PECAM1, PTPRG, MECOM, IGFBP7, HSPG2, COL4A1, NAV3, SPTBN1, PLEKHG1, ELMO1, PRKCH, ZFPM2, RASAL2, DOCK9, ADAMTS9, PEAK1, COL4A2, SASH1, ABLIM1, LRMDA, APBB2, ARL15, FLRT2, FBXL7, MAGI1, DOCK4, SSH2, UTRN, ZNF521, DLC1, MAP4K4, BMPR2, TTC28, MACF1, TRIO, GNAQ, ASAP1, PTK2, DIAPH2, PPP3CA, STOX2",Ednothelial_cells,endothelial cell,CL:0000115,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,0: Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,0: Endothelial Cells,endothelial cell,CL:0000115,endothelial cell
1.4,"GPC6, BNC2, TENM3, FBXL7, SGCZ, MIR100HG, LSAMP, SLIT3, NAV3, CNTNAP2, NLGN1, COL1A2, EBF1, SGCD, ADGRL3, PRRX1, SEMA3A, PTPRD, COL12A1, CDH11, KCNQ1OT1, ADGRB3, GRID2, FRMD4A, ROBO2, AFF3, SLIT2, CDK14, SETBP1, NCAM2, PCDH9, FBN2, IL1RAPL1, COL5A2, DLC1, PRKG1, BICC1, FLRT2, LDB2, ROBO1, GSE1, ZFHX3, PALLD, EFNA5, TMTC2, TTC28, PTPRG, MIR99AHG, DLG2, TRIO, PLXDC2, ROR1, RBFOX2",Jaw_Mesenchyme,mesenchymal�stem�cell�of�the�bone�marrow,CL:0002540,mesenchymal cell,Neurons,neuron,CL:0000540,neuron,Mesenchymal Progenitor Cells,mesenchymal stem cell,CL:0000134,stem cell,1: Mesenchymal Stem Cells,mesenchymal stem cell,CL:0000134,stem cell,1: Neural Crest Cells,neural crest cell,CL:0011012,stem cell
2.4,"RUNX2, COL1A1, COL1A2, FAT3, SATB2, UST, COL24A1, SOX6, ANO5, SLIT3, CD36, COL11A1, MEF2C, MYO10, SLC8A3, COL13A1, MAMDC2, CDH2, MIR181A1HG, ZBTB7C, SDK2, NCAM1, ELMO1, NEAT1, COL5A2, CPE, COL5A1, PCDH9, GPC6, GSN, CDH11, MAGI2, LDLRAD4, LGR4, MALAT1, ROBO2, ADGRB3, NAV3, CDK14, SPARC, TENM3, TRPS1, SLIT2, DLEU2, TMTC2, CADM1, DLG2, SEC31A, ROR2, PSD3, SND1, CLMP, FHOD3, KLF12, ZFHX3, LSAMP, SH3PXD2B, MAP4, KCNQ1OT1, GLG1, FGFR1, ROBO1, PRKG1, LMNA, SIK3, PLEKHA5, AHCYL2, EML4, JMJD1C, MAML3, RABGAP1L, PTPRG, FNDC3B, ADK, IGF2BP2, FRMD4B, RBFOX2, PALLD",Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblasts,osteoblast,CL:0000062,osteoblast,2: Osteoblasts,osteoblast,CL:0000062,osteoblast,2: Osteoblasts,osteoblast,CL:0000062,osteoblast
3.4,"PAX7, AL589740.1, PCDH7, CLCN5, RBFOX1, DLG2, CDH13, LINC01266, ZEB2, NCOA1, PRKG1, GPC3, SPATS2L, FOXP2, SSH2, CELF2, TLN2, KCNQ1OT1, MEG3, TRIO, QKI, TCF4, RBFOX2, CUX1, CDK6, ADGRL3, FBXL7, MACF1, TTC28",Skeletal_myoblasts,skeletal muscle myoblast,CL:0000515,stem cell,Neuroblasts,neural�progenitor�cell,CL:0011020,,Neural CrestDerived Cells,neural crest cell,CL:0011012,stem cell,3: Neural Progenitor Cells,neural progenitor cell,CL:0011020,progenitor cell,3: Neural Progenitor Cells,neural progenitor cell,CL:0011020,progenitor cell
4.4,"TTN, MYH3, NEB, RYR1, MYBPC1, TNNT3, LDB3, MYLPF, MYOM1, ACTN2, AGBL1, MEF2C, RBFOX1, TPM2, ANK2, MEG8, MEG3, LAMA2, CACNA2D1, DMD, HIF3A, FGF13, SGCD, PALLD, CELF2, LRRFIP1, GNAS, PRKG1, MICU1, MAP4, DLG2, SPTBN1, TMEM108, MACF1, KIF1B, SVIL, NCOA1, NAV2, QKI, PPP1R9A, RBFOX2, AKAP9",Skeletal_myocytes,cell of skeletal muscle,CL:0000188,muscle cell,Skeletal muscle cells,cell of skeletal muscle,CL:0000188,muscle cell,Muscle Cells,muscle cell,CL:0000187,muscle cell,4: Skeletal Muscle Cells,cell of skeletal muscle,CL:0000188,muscle cell,4: Skeletal Muscle Cells,cell of skeletal muscle,CL:0000188,muscle cell
6.4,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, S100A9, SPINK5, SPRR3, KRT4, DSG3, AC068051.1, DSP, DSC2, EMP1, KRT17, ANXA1, PERP, PPL, KRT5, NEAT1, DOCK3, AHNAK, CAST, ANXA2, ACTG1, PITX1, RPLP1, RAB11FIP1, CDH1, CUX1, ACTB, TMOD3, ABLIM1, KRT19, LINC00511, CAMK1D, PSD3, RAB10, PTPRF, SLC24A3, FER, VIM, EXOC6B, MALAT1, NEBL, PDZD2, ADGRL2, EGFR, GTF2IRD1, KDM2A, ROBO2, ARL15, DLG1",Oral_epithelium,oral mucosa squamous cell,CL:1001576,epithelial cell,Keratinocytes,keratinocyte,CL:0000312,epithelial cell,Keratinocytes,keratinocyte,CL:0000312,epithelial cell,6: Keratinocytes,keratinocyte,CL:0000312,epithelial cell,6: Keratinocytes,keratinocyte,CL:0000312,epithelial cell
7.4,"KRT17, KRT5, NLGN1, PRKCA, CASC15, SLC20A2, DST, TNFRSF19, LINC01060, CUX2, PLXDC2, SCUBE3, MIR99AHG, MPPED1, RYR2, ENOX1, KCNIP4, RPLP1, FRAS1, BNC2, ROR2, PSD3, PCDH7, ARHGAP26, SDK1, ADGRL3, TENM3, AFF3, MSI2, CNTN4, EXOC6B, MACF1, LAMB1, C9orf3, ATXN1, CUX1, AHCYL2, MAGI1, TRIO, NRXN3, FGFR2, KANK1, HMGA2, WWOX, FLNB, GRIP1, MAML3, EFNA5, ASAP1, GTF2IRD1, PALLD, CADM1",Dental_epithelium,preameloblast,CL:0007000,epithelial cell,Mixed cell types (Keratinocytes and neurons),keratinocyte,CL:0000312,epithelial cell,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,7: Basal Epithelial Cells,basal cell,CL:0000646,stem cell,7: Schwann Cells,Schwann cell,CL:0002573,glial cell
9.4,"SGCZ, COL1A1, COL1A2, GPC6, VIM, COL12A1, MIR100HG, TENM3, BNC2, ACTG1, EBF1, NCAM2, NAV3, CNTNAP2, FBN2, CDH11, COL3A1, ADGRL3, COL5A1, SLIT2, IGFBP5, SGCD, COL6A2, LSAMP, PCDH9, COL5A2, PRRX1, FOXP2, NLGN1, KCNQ1OT1, ALCAM, CDK14, ZFHX3, FLRT2, AFF3, FRMD4A, SETBP1, SLIT3, CAMK1D, GSE1, TRIO, SDK1, PALLD",Respiratory_epithelium,respiratory epithelial cell,CL:0002368,epithelial cell,Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell,Stromal Cells,stromal cell,CL:0000499,stromal cell,9: Mesenchymal Stem Cells,mesenchymal stem cell,CL:0000134,stem cell,9: Mesenchymal Stem Cells / Fibroblasts,mesenchymal stem cell,CL:0000134,stem cell
10.4,"ROBO1, DLG2, SOX5, CDH12, KCNIP4, COL3A1, LSAMP, SATB2, COL1A1, COL1A2, NLGN1, TMTC2, PTPRD, HDAC9, RUNX2, PTCH1, PTN, NRXN1, CDH11, VCAN, RSPO4, PLXDC2, GALNTL6, CACNB2, ROBO2, ADGRL3, NRG3, SYT1, AC109466.1, HMGA2, TMEM132C, VIM, GPC6, CDH13, SLIT3, CASC15, NEGR1, TMTC1, FGF13, EPHA3, KIF26B, FBN2, NFIC, IL1RAPL1, CNTN4, FBXL7, AFF3, FAT3, ROR2, TENM3, CLMP, PCDH9, COL6A2, PRRX1, KAZN, FLRT2, PDE5A, PRKG1, KLF12, PTPRG, PRKD1, GLI3, TEAD1, PHIP, RBFOX2, DLC1, TTC28, FRMD4A, PPP3CA, SETBP1",Dental_mesenchyme,dental pulp cell,CL:4030035,mesenchymal cell,Mixed cell types (Cortical neurons and mesenchymal stem cells),neuron,CL:0000540,neuron,Mesenchymal Cells,mesenchymal cell,CL:0008019,mesenchymal cell,10: Osteoblasts,osteoblast,CL:0000062,osteoblast,10: Osteoblasts / Neural Crest Cells,osteoblast,CL:0000062,osteoblast
11.4,"SFMBT2, AFF3, PRKCA, ELMO1, FCHSD2, RBPJ, RUNX1, LRMDA, QKI, ITPR2, MBNL1, PLXDC2, CELF2, FRMD4A, RABGAP1L, DIAPH2",Immune_cells,leukocyte,CL:0000738,immune cell,Progenitor cells,progenitor cell,CL:0011026,progenitor cell,Hematopoietic Stem Cells,hematopoietic stem cell,CL:0000037,stem cell,11: Myeloid Progenitor Cells,myeloid lineage restricted progenitor cell,CL:0000839,progenitor cell,11: Hematopoietic Progenitor Cells,hematopoietic multipotent progenitor cell,CL:0000837,progenitor cell
