,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
188,188,Lung,1,0.5,"LRRK2,MACROD2,SFTPB,ABCA3,ANK3",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,Alveolar Type II cell,Alveolar Type II Cell,Alveolar type II cells,Basal cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,basal cell,CL:0000646,0,0,0,-1
189,189,Lung,1,0.5,"KRT17,CACHD1,XPR1,TP63,GLIS3",Epithelial cell (basal),basal cell,CL:0000646,stem cell,Epithelial cell,Squamous Epithelial Cells,Basal cells,Clara cells,squamous epithelial cell,CL:0000076,epithelial cell,CL:0000066,basal cell,CL:0000646,club cell,CL:0000158,-1,17,0,-1
190,190,Lung,1,0.5,"LRRIQ1,TMEM232,AGBL4,HYDIN,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated epithelial cell,Ependymal Cells,Ciliated cells,Ciliated epithelial cells,ependymal cell,CL:0000065,ciliated epithelial cell,CL:0000067,ciliated cell,CL:0000064,ciliated epithelial cell,CL:0000067,-1,0,1,0
191,191,Lung,1,0.5,"CDK14,NEDD4L,MECOM,SCGB3A2,ERBB4",Epithelial cell (club),club cell,CL:0000158,epithelial cell,Club cell,Breast Epithelial Cell,Club cells,Club cells,mammary gland epithelial cell,CL:0002327,club cell,CL:0000158,club cell,CL:0000158,club cell,CL:0000158,-1,0,0,0
192,192,Lung,1,0.5,"PLCG2,ARHGAP15,MEF2C,FBXW7,DENND5B",Immune (B cell),B cell,CL:0000236,b cell,B cell,T Cell,B cells,Immune cells,t cell,CL:0000084,b cell,CL:0000236,b cell,CL:0000236,leukocyte,CL:0000738,-1,0,0,4
193,193,Lung,1,0.5,"AOAH,ARHGAP15,PARP8,PIP4K2A,CD247",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,T cell,T Cell,T cells,T-lymphocytes,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,T cell,CL:0000084,-1,-1,-1,-1
194,194,Lung,1,0.5,"PARP8,FYN,THEMIS,SYTL3,PTPRC",Immune (T cell),T cell,CL:0000084,t/nk cell,T cell,Macrophage,T cells,Endothelial cells,macrophage,CL:0000235,t cell,CL:0000084,t cell,CL:0000084,endothelial cell,CL:0000115,-1,0,0,-1
195,195,Lung,1,0.5,"GPCPD1,DOCK8,MSR1,PLXDC2,TFRC",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,Macrophage,Dendritic Cell,Macrophages,Myeloid cells,dendritic cell,CL:0000451,macrophage,CL:0000235,macrophage,CL:0000235,myeloid cell,CL:0000763,6,2,2,4
196,196,Lung,1,0.5,"SRGN,SLC24A3,TPSAB1,FER,SYTL3",Immune (mast cell),mast cell,CL:0000097,granulocyte,Mast cell,Mast Cell,Mast cells,Smooth muscle cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,smooth muscle cell,CL:0000192,0,0,0,-1
197,197,Lung,1,0.5,"TPM1,ACTA2,PRKG1,MYH11,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell",Smooth muscle cell,Smooth Muscle Cell,Smooth muscle cells,Endothelial cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,endothelial cell,CL:0000115,-1,-1,-1,-1
198,198,Lung,1,0.5,"PECAM1,EGFL7,TCF4,PTPRM,ST6GALNAC3",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell,Endothelial cell,Endothelial Cell,Endothelial cells,Fibroblasts,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,fibroblast,CL:0000057,1,1,1,-1
199,199,Lung,1,0.5,"RORA,LAMA2,RBMS3,PLXDC2,ARHGAP6",Fibroblast,fibroblast,CL:0000057,fibroblast,Schwann cell,Skeletal Muscle Cell,Fibroblasts,Immune cells,cell of skeletal muscle,CL:0000188,schwann cell,CL:0002573,fibroblast,CL:0000057,leukocyte,CL:0000738,-1,-1,0,-1
200,200,Lung,1,0.5,"SRGN,PLXDC2,TBXAS1,PIK3R5,CD74",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte",Macrophage,Macrophage,Macrophages,Lung Neuroendocrine Cells,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,lung neuroendocrine cell,CL:1000223,-1,-1,-1,-1
201,201,Lung,1,0.5,"FOXO1,ACSL1,G0S2,PLIN1,PLIN2",Adipocyte,fat cell,CL:0000136,fat cell,Adipocyte,Adipocyte,Lipofibroblasts,Adipocytes,adipocyte,CL:0000136,adipocyte,CL:0000136,alveolar type 1 fibroblast cell,CL:4028004,adipocyte,CL:0000136,0,0,-1,0
202,202,Lung,1,0.5,"EMP2,PDPN",Alveolar Type I,type I pneumocyte,CL:0002062,epithelial cell,Lymphatic endothelial cell,Lymphatic Endothelial Cells,Alveolar epithelial cells,Fibroblasts,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,pulmonary alveolar epithelial cell,CL:0000322,fibroblast,CL:0000057,-1,-1,1,9
203,203,Lung,1,0.5,"SFTPB,SFTPC",Alveolar Type II,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Type II cell,Type II Pneumocytes,Alveolar epithelial type II cells,Alveolar Type II Cells,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,-1,0,0,0
204,204,Lung,1,0.5,"CR2,CD1c",B cell_memory,memory B cell,CL:0000787,b cell,B cell,B Cells,Dendritic cells,Dendritic Cells,b cell,CL:0000236,b cell,CL:0000236,dendritic cell,CL:0000451,dendritic cell,CL:0000451,3,3,-1,-1
205,205,Lung,1,0.5,"DNAI2,FOXJ1,CDHR3,DNAI1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated epithelial cell,Ciliated Epithelial Cells,Ciliated epithelial cells,Ciliated Cells,ciliated epithelial cell,CL:0000067,ciliated epithelial cell,CL:0000067,ciliated epithelial cell,CL:0000067,ciliated cell,CL:0000064,0,0,0,1
206,206,Lung,1,0.5,"SCGB3A1,SCGB1A1,SCGB3A2",Club Epithelial,club cell,CL:0000158,epithelial cell,Club cell,Club Cells,Club cells,Clara Cells,club cell,CL:0000158,club cell,CL:0000158,club cell,CL:0000158,club cell,CL:0000158,0,0,0,0
207,207,Lung,1,0.5,"FBLN1,COL4A1,COL1A1,COL3A1,COL6A1,FBN1,COL5A2,NEGR1,COL6A2,SLIT2,COL6A6,COL18A1",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblast,Fibroblasts,Fibroblasts,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,0,0,0,0
208,208,Lung,1,0.5,"MMRN1,FLT4,PROX1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic endothelial cell,Lymphatic Endothelial Cells,Lymphatic endothelial cells,Lymphatic Endothelial Cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,0,0,0,0
209,209,Lung,1,0.5,"MERTK,CD74,MR1,MS4A6A,C1QA,MS4A4A,MS4A6A,CD163,CSF1R,MSR1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,Macrophages,Alveolar macrophages,Macrophages,macrophage,CL:0000235,macrophage,CL:0000235,alveolar macrophage,CL:0000583,macrophage,CL:0000235,0,0,-1,0
210,210,Lung,1,0.5,"FCER1A,CD69,TPSAB1",Mast Cell,mast cell,CL:0000097,granulocyte,Mast cell,Mast Cells,Mast cells,Mast Cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,0,0,0,0
211,211,Lung,1,0.5,"DES,CSPG4,ANPEP,MYO1B",Pericyte,pericyte,CL:0000669,pericyte,Pericyte,Pericytes,Pericytes,Smooth Muscle Cells,pericyte,CL:0000669,pericyte,CL:0000669,pericyte,CL:0000669,smooth muscle cell,CL:0000192,0,0,0,-1
212,212,Lung,1,0.5,"ACTG2,SMTN,GUCY1A3,MYH11,GUCY1B3,ACTN1,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Smooth muscle cell,Smooth Muscle Cells,Smooth muscle cells,Vascular Smooth Muscle Cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,vascular associated smooth muscle cell,CL:0000359,0,0,0,-1
213,213,Lung,1,0.5,"CD247,TRAC,CD3E,IL7R,SKAP1,CD3G",T cell,T cell,CL:0000084,t/nk cell,T cell,T Cells,T cells,T Cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,0,0,0,0
214,214,Lung,1,0.5,"RAMP3,LDB2,PTPRB,BACE2,PECAM1",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,Endothelial cell,Endothelial Cells,Endothelial cells,Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,1,1,1,1
215,215,Lung,1,0.5,"MUC1,SFTPB,SFTPA1,PGC,SLC34A2",type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell,Type II pneumocyte,Type II Pneumocytes,Alveolar type II cells,Type II Alveolar Cells,type II pneumocyte differentiation,GO:0060510,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,-1,-1,0,0
216,216,Lung,1,0.5,"FCGR3B,MMP25,S100A12,CD177,MTND5P32",neutrophil,neutrophil,CL:0000775,granulocyte,Neutrophil,Neutrophils,Neutrophils,Neutrophils,neutrophil,CL:0000775,neutrophil,CL:0000775,neutrophil,CL:0000775,neutrophil,CL:0000775,0,0,0,0
217,217,Lung,1,0.5,"CXCR4,CD3E,TRAC,IL7R,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cell,T Cells,T cells,T Cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,3,3,3,3
218,218,Lung,1,0.5,"CD3D,GNLY,KLRD1,GZMA,CD3E","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,Cytotoxic T cell,Natural Killer Cells,NK T cells,Cytotoxic T Cells,natural killer cell,CL:0000623,cytotoxic t cell,CL:0000910,mature NK T cell,CL:0000814,cytotoxic t cell,CL:0000910,-1,-1,-1,-1
219,219,Lung,1,0.5,"KLRF1,GNLY,CD247,FGFBP2,KLRB1",nk cell,natural killer cell,CL:0000623,t/nk cell,Natural killer cell,Natural Killer Cells,Natural Killer cells,Natural Killer Cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0
220,220,Lung,1,0.5,"EXOC3L2,CCL14,ADAMTS4,ZNF385D,NEURL1B",bronchial vessel endothelial cell,,,endothelial cell,Unknown,Astrocytes,Fibroblast,"Exocrine cells, possibly secretory cells",astrocyte,CL:0000127,cyanophore,CL:0000747,fibroblast,CL:0000057,pancreas exocrine glandular cell,CL:1001599,-1,-1,-1,-1
221,221,Lung,1,0.5,"CNN1,JPH2,CCN5,DES,FOXC2",smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell,Smooth muscle cell,Smooth Muscle Cells,Smooth Muscle Cell,"Smooth muscle cells, potentially myofibroblasts",smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,myofibroblast cell,CL:0000186,0,0,0,-1
222,222,Lung,1,0.5,"C1R,C1S,MFAP5,FBLN1,IGFBP6",adventitial cell,adventitial cell,CL:0002503,adventitial cell,Extracellular matrix-producing cell,Fibroblasts,Fibroblast,"Interstitial cells, possibly fibroblasts",fibroblast,CL:0000057,extracellular matrix secreting cell,CL:0000327,fibroblast,CL:0000057,pulmonary interstitial fibroblast,CL:0002241,-1,-1,-1,-1
223,223,Lung,1,0.5,"C1QA,APOC1,VSIG4,MS4A7,ACP5",macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,Macrophages,Macrophage,"Macrophages, possibly alveolar or splenic macrophages",macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,alveolar macrophage,CL:0000583,0,0,0,-1
224,224,Lung,1,0.5,"GATA2,TPSAB1,MS4A2,VWA5A,KIT",basophil,basophil,CL:0000767,granulocyte,Mast cell,Mast Cells,Mast Cell,"Mast cells, potentially basophils",mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,basophil mast progenitor cell,CL:0002028,-1,-1,-1,-1
225,225,Lung,1,0.5,"VCAN,MNDA,CD300E,VSIR,S100A8",classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte,Myeloid cell,Monocytes,Monocyte,"Immune cells, possibly myeloid-derived or innate immune cells",monocyte,CL:0000576,myeloid cell,CL:0000763,monocyte,CL:0000576,innate immune response,GO:0045087,1,3,1,-1
226,226,Lung,1,0.5,"SSTR1,GJA5,NPR3,PTPRB,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell,Endothelial cell,Endothelial Cells,Endothelial Cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,3,3,3,3
227,227,Lung,1,0.5,"RSPH1,TSPAN1,CAPS,TPPP3,C9orf24",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell,Ciliated epithelial cells,Ciliated epithelial cells,Ciliated Epithelial Cell,"Ciliated epithelial cells, possibly respiratory epithelial cells",ciliated epithelial cell,CL:0000067,ciliated epithelial cell,CL:0000067,ciliated epithelial cell,CL:0000067,ciliated epithelial cell,CL:0000067,1,1,1,1
228,228,Lung,1,0.5,"GPR183,PKIB,CD1C,CD1E,CST7",dendritic cell,dendritic cell,CL:0000451,dendritic cell,Dendritic cells,Dendritic cells,Dendritic Cell,"NK cells or T cells, possibly activated lymphocytes",dendritic cell,CL:0000451,dendritic cell,CL:0000451,dendritic cell,CL:0000451,activated type II NK T cell,CL:0000931,0,0,0,-1
229,229,Lung,1,0.5,"WFDC2,SERPINB3,TFF3,LCN2,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell,Endometrial cells,Goblet cells,Secretory Epithelial Cell,"Secretory epithelial cells, possibly goblet cells",goblet cell,CL:0000160,endometrial microvascular endothelial cell,CL:2000091,fallopian tube secretory epithelial cell,CL:4030006,respiratory goblet cell,CL:0002370,1,-1,-1,0
230,230,Lung,1,0.5,"ALDH3A1,KRT19,IGFBP2,PERP,KRT15",basal cell,basal cell,CL:0000646,stem cell,Basal epithelial cells,Basal cells of epithelium,Basal Epithelial Cells,Bronchial epithelial cells,basal cell of olfactory epithelium,CL:0002169,basal epithelial cell of prostatic duct,CL:0002236,basal epithelial cell of prostatic duct,CL:0002236,bronchial epithelial cell,CL:0002328,-1,-1,-1,-1
231,231,Lung,1,0.5,"SPAG4,MZB1,DERL3,IGHA2,JCHAIN",plasma cell,plasma cell,CL:0000786,b cell,Plasma cells,Plasma cells,Plasma Cells,B lymphocytes,plasma cell,CL:0000786,plasma cell,CL:0000786,plasma cell,CL:0000786,B cell,CL:0000236,0,0,0,4
232,232,Lung,1,0.5,"TNFRSF13C,CD19,IGHM,CD79A,PAX5",b cell,B cell,CL:0000236,b cell,B cells,B cells,B Cells,B lymphocytes,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,B cell,CL:0000236,0,0,0,0
233,233,Lung,1,0.5,"TTYH1,LPO,SLC5A1,TCN1,PRB1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Salivary gland cells,Salivary gland cells,Secretory Cells,Club cells,salivary gland cell,CL:0009005,salivary gland cell,CL:0009005,secretory cell,CL:0000151,club cell,CL:0000158,-1,-1,4,-1
234,234,Lung,1,0.5,"AIF1,LST1,MS4A6A,CD163,RNASE6",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,Macrophages,Macrophages,Macrophages,Macrophages,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,3,3,3,3
235,235,Lung,1,0.5,"TIMP3,CALCRL,SLC6A4,LRRC32,VWF",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,Endothelial cells,Endothelial cells,Endothelial Cells, endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,2,2,2,2
236,236,Lung,1,0.5,"IL1RL1,CLDN5,HPGD,RAMP2,TIMP3",capillary aerocyte,,,epithelial cell,Endothelial cells,Vascular and lymphatic endothelial cells,Endothelial Cells,Endothelial cells,endothelial cell of vascular tree,CL:0002139,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
237,237,Lung,1,0.5,"UPK3B,NTM,ITLN2,PKDCC,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,Urothelial cells,Urothelial cells,Mesothelial Cells,Neuroendocrine cells,urothelial cell,CL:0000731,urothelial cell,CL:0000731,mesothelial cell,CL:0000077,neuroendocrine cell,CL:0000165,-1,-1,9,-1
238,238,Lung,1,0.5,"TIMP3,PRSS23,SPARCL1,LIFR,IGFBP7",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,Mesenchymal stem cells,Mesenchymal stem cells,Fibroblasts,Macrophages,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,CL:0000134,fibroblast,CL:0000057,macrophage,CL:0000235,6,6,7,-1
239,239,Lung,1,0.5,"MGP,FBLN1,LUM,RARRES2,ADH1B",alveolar fibroblast,,,fibroblast,Osteoblasts,Mesenchymal cells,Stromal Cells,Fibroblasts,mesenchymal cell,CL:0008019,osteoblast,CL:0000062,stromal cell,CL:0000499,fibroblast,CL:0000057,-1,-1,-1,-1
240,240,Lung,1,0.5,"MMRN1,HOXD9,PROX1,SEMA3D,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic endothelial cells,Lymphatic endothelium ,Vascular smooth muscle cells,Endothelial cells,lymphatic vessel endothelium,UBERON:0002042,endothelial cell of lymphatic vessel,CL:0002138,vascular associated smooth muscle cell,CL:0000359,endothelial cell,CL:0000115,-1,0,-1,2
241,241,Lung,1,0.5,"PLAC9,CARMN,CNN1,LMOD1,DES",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,Smooth muscle cells,Smooth muscle cells,Smooth muscle cells,Smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,2,2,2,2
242,242,Lung,1,0.5,"PLD4,LAMP5,LILRA4,MZB1,SPIB",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid dendritic cells,B cells and Plasma cells,Plasmacytoid dendritic cells,Neuronal cells,plasma cell,CL:0000786,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,CL:0000784,neuronal receptor cell,CL:0000006,-1,0,0,-1
243,243,Lung,1,0.5,"NEDD4L,WFDC2,CEACAM6,ELF3,FOLR1",club cell,club cell,CL:0000158,epithelial cell,Colon epithelial cells,Mucosal epithelial cells,Epithelial cells,Goblet cells,epithelial cell,CL:0000066,colon epithelial cell,CL:0011108,epithelial cell,CL:0000066,goblet cell,CL:0000160,2,-1,2,-1
244,244,Lung,1,0.5,"IGFBP7,LIFR,CLU,NPDC1,VWF",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,Mesenchymal cells,Endothelial cells,Endothelial cells,Bronchial epithelial cells,endothelial cell,CL:0000115,mesenchymal cell,CL:0008019,endothelial cell,CL:0000115,bronchial epithelial cell,CL:0002328,3,9,3,-1
245,245,Lung,1,0.5,"COX4I2,PRELP,CCN5,GJA4,BGN",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Vascular smooth muscle cells,Fibroblasts,Pericytes,Alveolar type 2 cells,fibroblast,CL:0000057,vascular associated smooth muscle cell,CL:0000359,pericyte,CL:0000669,pulmonary alveolar type 2 cell,CL:0002063,8,0,-1,-1
246,246,Lung,1,0.5,"RSPO1,KCTD8,LINC01902,GPR1,SYT4",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Neuronal cells,Neurons,Fibroblasts,Pulmonary fibroblasts,neuron,CL:0000540,neuronal receptor cell,CL:0000006,fibroblast,CL:0000057,pulmonary interstitial fibroblast,CL:0002241,9,-1,-1,-1
247,247,Lung,1,0.5,"NDUFA4L2,RGN,INMT,PDGFRB,COX4I2",pericyte cell,pericyte,CL:0000669,pericyte,Pericytes,Pericytes,Fibroblasts,Immune cells,pericyte,CL:0000669,pericyte,CL:0000669,fibroblast,CL:0000057,leukocyte,CL:0000738,0,0,10,-1
248,248,Lung,1,0.5,"PRG4,CPB1,SYT4,HAS1,VIPR2",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Synovial cells,Chondrocytes,Chondrocytes,Collagen-producing fibroblasts,chondrocyte,CL:0000138,synovial cell,CL:0000214,chondrocyte,CL:0000138,fibroblast,CL:0000057,-1,-1,-1,-1
249,249,Lung,1,0.5,"TARID,AC009269.2,COL1A2,ABCA6,SGIP1",fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblasts,Fibroblasts,Mesenchymal stromal cells,Interstitial cells,fibroblast,CL:0000057,fibroblast,CL:0000057,mesenchymal stem cell,CL:0000134,interstitial cell,CL:4030031,0,0,1,-1
250,250,Lung,1,0.5,"CD300E,CORO1A,RNASE2,VCAN,FCN1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,Monocytes/Macrophages,Monocytes and Macrophages,Monocyte/Macrophage,Immune cells,macrophage,CL:0000235,macrophage,CL:0000235,monocyte,CL:0000576,leukocyte,CL:0000738,3,3,1,3
251,251,Lung,1,0.5,"CLCNKB,LINC01187,CEL,DGKI,PROX1",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Renal cells,Proximal tubular cells,Alveolar Type II Cells,Endothelial cells,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell",CL:4030038,renal filtration cell,CL:0002522,pulmonary alveolar type 2 cell,CL:0002063,endothelial cell,CL:0000115,-1,-1,-1,15
252,252,Lung,1,0.75,"LMO7,LAMA3,SCEL,EMP2,GPRC5A,DST,AGER",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Basal keratinocytes,Pulmonary Alveolar Type II Cells,Alveolar Type I Cells,Epithelial cells,pulmonary alveolar type 2 cell,CL:0002063,keratinocyte,CL:0000312,pulmonary alveolar type 1 cell,CL:0002062,epithelial cell,CL:0000066,-1,-1,0,3
253,253,Lung,1,0.75,"ADAM28,BLK,VPREB3,MS4A1,CD79B,CD22,LINC00926",B,B cell,CL:0000236,b cell,B cells,B Lymphocytes,B Cell,B cells,B cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,0,0,0,0
254,254,Lung,1,0.75,"ITGA2,KRT15,DST,FHL2,PERP,KRT5,S100A2",Basal,basal cell,CL:0000646,stem cell,Basal cells,Basal Keratinocytes,Basal Cell,Progenitor cells,keratinocyte,CL:0000312,basal cell,CL:0000646,basal cell,CL:0000646,progenitor cell,CL:0011026,-1,0,0,-1
255,255,Lung,1,0.75,"VCAN,S100A12,S100A9,CTSS,METTL9,CD99,FCN1",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Myeloid cells,Granulocytes or Myeloid Cells,Monocyte/Macrophage,Basal cells,myeloid cell,CL:0000763,myeloid cell,CL:0000763,monocyte,CL:0000576,basal cell,CL:0000646,3,3,1,-1
256,256,Lung,1,0.75,"MALAT1,CD6,CAMK4,BCL11B,IL7R,TRAT1,MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T Lymphocytes,T Cell,Macrophages,T cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,macrophage,CL:0000235,3,3,3,-1
257,257,Lung,1,0.75,"FAM92B,C20orf85,CCDC170,FANK1,RSPH1,CDHR3,ZMYND10",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated cells,Ciliated Cells,Ciliated Epithelial Cell,Lymphocytes,ciliated cell,CL:0000064,ciliated cell,CL:0000064,ciliated epithelial cell,CL:0000067,lymphocyte,CL:0000542,0,0,-1,-1
258,258,Lung,1,0.75,"HLA-DPB1,FPR3,RGS1,CLEC10A,HLA-DMB,MS4A6A,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,Antigen-presenting cells,Myeloid Dendritic Cells,Dendritic Cell,Fibroblasts,myeloid dendritic cell,CL:0000782,professional antigen presenting cell,CL:0000145,dendritic cell,CL:0000451,fibroblast,CL:0000057,-1,1,0,-1
259,259,Lung,1,0.75,"ADH1B,SLIT2,ABLIM1,C3,C1R,LUM,CFD",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblasts,Mesenchymal Stem Cells,Fibroblast,Dendritic cells,mesenchymal stem cell,CL:0000134,fibroblast,CL:0000057,fibroblast,CL:0000057,dendritic cell,CL:0000451,1,0,0,-1
260,260,Lung,1,0.75,"IGFBP7,TFF3,CCL21,PKHD1L1,PPFIBP1,TBX1,TFPI",Lymphatic,,,immune cell,Endothelial cells,Endothelial Cells,Bronchial epithelial cells,Alveolar epithelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,bronchial epithelial cell,CL:0002328,pulmonary alveolar epithelial cell,CL:0000322,-1,-1,-1,-1
261,261,Lung,1,0.75,"APOC1,VSIG4,ACP5,OLR1,ITGAX,MARCO,GPD1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,Macrophages,Alveolar macrophages,Macrophages,macrophage,CL:0000235,macrophage,CL:0000235,alveolar macrophage,CL:0000583,macrophage,CL:0000235,0,0,-1,0
262,262,Lung,1,0.75,"SPON2,KLRD1,PRF1,GZMB,GNLY,KLRF1,CD247",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Cytotoxic cells,Natural Killer Cells,Natural killer (NK) cells,Cytotoxic T cells,natural killer cell,CL:0000623,cytotoxic T cell,CL:0000910,natural killer cell,CL:0000623,cytotoxic t cell,CL:0000910,0,-1,0,-1
