,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
971,971,971,971,2,Lung,1.0,"GENE26,NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,Alveolar epithelial cells,CL:0000322,Alveolar type II cells,CL:0002063,Alveolar Type 2 Cells,14. Alveolar type II cells,CL:0002063,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar epithelial cell,pulmonary alveolar type 2 cell,0,0,1,0
972,972,972,972,2,Lung,1.0,"GENE44,IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,Neutrophils,CL:0000775,Neutrophils,CL:0000775,Neutrophils,15. Neutrophils,CL:0000775,CL:0000775,neutrophil,neutrophil,neutrophil,neutrophil,0,0,0,0
973,973,973,973,2,Lung,1.0,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2,GENE89","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T cells,CL:0000084,T cells,CL:0000084,T Cells,16. T cells (CD4+ helper),CL:0000084,CL:0000492,t cell,CD4-positive helper T cell,t cell,t cell,3,-1,3,3
974,974,974,974,2,Lung,1.0,"GENE54,CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,T cells,CL:0000084,T effector memory cells,CL:0000813,Cytotoxic T Cells,17. CD8+ T cells,CL:0000910,CL:0000625,cytotoxic t cell,"CD8-positive, alpha-beta T cell",t cell,memory T cell,-1,0,3,-1
975,975,975,975,2,Lung,1.0,"GENE63,GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,Natural killer cells,CL:0000623,Cytotoxic T cells,CL:0000910,Natural Killer Cells,18. NK cells,CL:0000623,CL:0000623,natural killer cell,natural killer cell,natural killer cell,cytotoxic t cell,0,0,0,-1
976,976,976,976,2,Lung,1.0,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2,GENE46",bronchial vessel endothelial cell,,,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Endothelial Cells,19. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,fibroblast,fibroblast,-1,-1,-1,-1
977,977,977,977,2,Lung,1.0,"GENE45,ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,Smooth muscle cells,CL:0000192,Smooth muscle cells,CL:0000192,Vascular Smooth Muscle Cells,20. Smooth muscle cells,CL:0000359,CL:0000192,vascular associated smooth muscle cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,-1,0,0,0
978,978,978,978,2,Lung,1.0,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP,GENE49",adventitial cell,adventitial cell,CL:0002503,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,21. Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,-1,-1,-1,-1
979,979,979,979,2,Lung,1.0,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4,GENE13",macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,Macrophages,CL:0000235,Macrophages,22. Monocytes / macrophages,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,macrophage,0,0,0,0
980,980,980,980,2,Lung,1.0,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A,GENE6",basophil,basophil,CL:0000767,Mast Cells,CL:0000097,Mast cells,CL:0000097,Mast Cells,23. Mast cells,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mast cell,-1,-1,-1,-1
981,981,981,981,2,Lung,1.0,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR,GENE38",classical monocyte,classical monocyte,CL:0000860,Monocytes,CL:0000576,Monocytes/Macrophages,CL:0000235,Neutrophils,24. Neutrophils,CL:0000775,CL:0000775,neutrophil,neutrophil,monocyte,macrophage,-1,-1,1,3
982,982,982,982,2,Lung,1.0,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2,GENE72",endothelial cell of artery,endothelial cell of artery,CL:1000413,Endothelial Cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,25. Platelet-producing megakaryocytes,CL:0000115,CL:0000556,endothelial cell,megakaryocyte,endothelial cell,endothelial cell,3,13,3,3
983,983,983,983,2,Lung,1.0,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1,GENE58",lung ciliated cell,lung ciliated cell,CL:1000271,Ciliated Cells,CL:0000064,T cells,CL:0000084,Neurons,1. Primary Cilium Cell,CL:0000540,CL:0000001,neuron,primary cultured cell,ciliated cell,t cell,10,-1,2,-1
984,984,984,984,2,Lung,1.0,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A,GENE17",dendritic cell,dendritic cell,CL:0000451,Dendritic Cells,CL:0000451,Dendritic cells,CL:0000451,Dendritic Cells,2. Dendritic Cell,CL:0000451,CL:0000451,dendritic cell,dendritic cell,dendritic cell,dendritic cell,0,0,0,0
985,985,985,985,2,Lung,1.0,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1,GENE17",respiratory goblet cell,respiratory goblet cell,CL:0002370,Secretory Club Cells,CL:0000158,Club cells,CL:0000158,Goblet cells,3. Secretory Epithelial Cell,CL:0000160,CL:4030006,goblet cell,fallopian tube secretory epithelial cell,club cell,club cell,1,-1,-1,-1
986,986,986,986,2,Lung,1.0,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2,GENE70",basal cell,basal cell,CL:0000646,Basal Cells,CL:0000646,B cells,CL:0000236,Basal cells,4. Basal Cell,CL:0000646,CL:0000646,basal cell,basal cell,basal cell,b cell,0,0,0,-1
987,987,987,987,2,Lung,1.0,"GENE88,JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,Plasma Cells,CL:0000786,B cells,CL:0000236,Plasma cells,5. Plasma Cell,CL:0000786,CL:0000786,plasma cell,plasma cell,plasma cell,b cell,0,0,0,4
988,988,988,988,2,Lung,1.0,"GENE31,CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B Cells,CL:0000236,Epithelial cells,CL:0000066,B cells,6. B Cell,CL:0000236,CL:0000236,b cell,b cell,b cell,epithelial cell,0,0,0,13
989,989,989,989,2,Lung,1.0,"GENE37,PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,Serous Cells,CL:0000313,Epithelial cells,CL:0000066,Salivary Gland Cells,7. Salivary Gland Cell,CL:0009005,CL:0009005,salivary gland cell,salivary gland cell,serous secreting cell,epithelial cell,-1,-1,2,5
990,990,990,990,2,Lung,1.0,"GENE14,FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,Macrophage,CL:0000235,Macrophage,CL:0000235,Macrophages,8. Macrophage,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,macrophage,3,3,3,3
991,991,991,991,2,Lung,1.0,"GENE75,FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,Endothelial cell,CL:0000115,Endothelial Cell,CL:0000115,Endothelial cells,9. Endothelial Cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,2,2,2,2
992,992,992,992,2,Lung,1.0,"GENE84,EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,Endothelial cell,CL:0000115,Epithelial Cell,CL:0000066,Endothelial cells,10. Endothelial Cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,epithelial cell,-1,-1,-1,-1
993,993,993,993,2,Lung,1.0,"GENE27,RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,Neuron,CL:0000540,Fibroblast,CL:0000057,Keratinocyte,11. Skin Epithelial Cell,CL:0000312,CL:0002308,keratinocyte,epithelial cell of skin gland,neuron,fibroblast,-1,-1,9,9
994,994,994,994,2,Lung,1.0,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU,GENE95",vein endothelial cell,vein endothelial cell,CL:0002543,Endothelial cell,CL:0000115,Mast Cell,CL:0000097,Endothelial cells,12. Endothelial Cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,mast cell,3,3,3,-1
995,995,995,995,2,Lung,1.0,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS,GENE46",alveolar fibroblast,,,Fibroblast,CL:0000057,"Epithelial Cell, Fibroblast",CL:0000066,Fibroblasts,13. Fibroblast,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,epithelial cell,-1,-1,-1,-1
996,996,996,996,2,Lung,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE63",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic endothelial cell,CL:0002138,Smooth Muscle Cell,CL:0000192,Lymphatic Endothelial cells,14. Lymphatic Endothelial Cell,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,smooth muscle cell,0,0,0,-1
997,997,997,997,2,Lung,1.0,"MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN,GENE73",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,Smooth muscle cell,CL:0000192,B Cell,CL:0000236,Smooth Muscle cells,15. Smooth Muscle Cell,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,b cell,2,2,2,-1
998,998,998,998,2,Lung,1.0,"GENE33,AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,Dendritic cell,CL:0000451,Secretory Cell,CL:0000151,Plasma cells,16. Plasmacytoid Dendritic Cell,CL:0000786,CL:0000784,plasma cell,plasmacytoid dendritic cell,dendritic cell,secretory cell,-1,0,1,-1
999,999,999,999,2,Lung,1.0,"GENE22,SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB",club cell,club cell,CL:0000158,Epithelial cell,CL:0000066,Goblet Cell,CL:0000160,Alveolar cells,17. Club Cell,CL:0000583,CL:0000158,alveolar macrophage,club cell,epithelial cell,goblet cell,-1,0,2,-1
1000,1000,1000,1000,2,Lung,1.0,"GENE82,ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,Endothelial Cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial cells,18. Endothelial Cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3
1001,1001,1001,1001,2,Lung,1.0,"GENE100,PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,Smooth Muscle Cells,CL:0000192,Fibroblasts,CL:0000057,Smooth Muscle cells,19. Vascular Smooth Muscle Cell,CL:0000192,CL:0000359,smooth muscle cell,vascular associated smooth muscle cell,smooth muscle cell,fibroblast,1,0,1,8
1002,1002,1002,1002,2,Lung,1.0,"GENE64,AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,Neurons,CL:0000540,Immune cells,CL:0000738,Neurons,20. Neural Progenitor Cell,CL:0000540,CL:0011020,neuron,neural progenitor cell,neuron,leukocyte,9,-1,9,-1
1003,1003,1003,1003,2,Lung,1.0,"GENE68,COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2",pericyte cell,pericyte,CL:0000669,Pericytes,CL:0000669,Smooth muscle cells,CL:0000192,Smooth Muscle cells,21. Vascular Smooth Muscle Cell,CL:0000192,CL:0000359,smooth muscle cell,vascular associated smooth muscle cell,pericyte,smooth muscle cell,-1,-1,0,-1
1004,1004,1004,1004,2,Lung,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE70",mesothelial cell,mesothelial cell,CL:0000077,Goblet Cells,CL:0000160,Type II alveolar cells,CL:0002063,Chondrocytes,22. Chondrocyte,CL:0000138,CL:0000138,chondrocyte,chondrocyte,goblet cell,pulmonary alveolar type 2 cell,-1,-1,-1,-1
1005,1005,1005,1005,2,Lung,1.0,"GENE51,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,Ionocytes,CL:0005006,Alveolar macrophages,CL:0000583,Cardiac Muscle Cells,23. Mesenchymal Stem Cell,CL:0000746,CL:0000134,cardiac muscle cell,mesenchymal stem cell,ionocyte,alveolar macrophage,-1,1,-1,-1
1006,1006,1006,1006,2,Lung,1.0,"GENE8,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,Myeloid Cells,CL:0000763,Neuroendocrine cells,CL:0000165,Macrophages,24. Monocyte/Macrophage,CL:0000235,CL:0000576,macrophage,monocyte,myeloid cell,neuroendocrine cell,3,1,3,-1
1007,1007,1007,1007,2,Lung,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE20",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,Ionocytes,CL:0005006,Ciliated epithelial cells,CL:0000067,Salivary Gland Cells,25. Lymphatic Endothelial Cell,CL:0009005,CL:0002138,salivary gland cell,endothelial cell of lymphatic vessel,ionocyte,ciliated epithelial cell,-1,-1,1,8
1008,1008,1008,1008,3,Lung,0.25,"ARHGEF26,LMO7,AGER,EMP2,RTKN2,GPRC5A,SPOCK2,GENE17,DST,SCEL,GENE96,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,Alveolar Epithelial Cells,CL:0000322,Pneumocytes,CL:0000322,Basal Cells,1. Keratinocyte,CL:0000646,CL:0000312,basal cell,keratinocyte,pulmonary alveolar epithelial cell,pulmonary alveolar epithelial cell,-1,-1,1,1
1009,1009,1009,1009,3,Lung,0.25,"MS4A1,LINC00926,BLK,GENE40,SP140,CD79A,GENE56,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B Cells,CL:0000236,B cells,CL:0000236,B cells,2. B cell,CL:0000236,CL:0000236,b cell,b cell,b cell,b cell,0,0,0,0
1010,1010,1010,1010,3,Lung,0.25,"CLDN1,GENE47,S100A2,GENE51,KRT15,KRT5,FHL2,DST,KRT17,PERP,ITGA2,KRT19",Basal,basal cell,CL:0000646,Basal Epithelial Cells,CL:0002236,Ciliated epithelial cells,CL:0000067,Basal Cells,3. Basal epithelial cell,CL:0000646,CL:0002236,basal cell,basal epithelial cell of prostatic duct,basal epithelial cell of prostatic duct,ciliated epithelial cell,0,-1,-1,-1
1011,1011,1011,1011,3,Lung,0.25,"CSF3R,S100A9,S100A8,CTSS,METTL9,GENE40,GENE5,CD99,VCAN,S100A12,FCN1,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,Neutrophils,CL:0000775,Neutrophils,CL:0000775,Neutrophils,4. Myeloid cell,CL:0000775,CL:0000763,neutrophil,myeloid cell,neutrophil,neutrophil,-1,3,-1,-1
1012,1012,1012,1012,3,Lung,0.25,"CD2,MALAT1,BCL11B,GENE33,CD6,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE53",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T Cells,CL:0000084,T lymphocytes,CL:0000084,T cells,5. T cell,CL:0000084,CL:0000084,t cell,t cell,t cell,T cell,3,3,3,3
1013,1013,1013,1013,3,Lung,0.25,"GENE58,C20orf85,DNAH6,FAM92B,GENE60,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,Cilia-related Cells,CL:0000000,Clara cells,CL:0000158,Ciliated Cells,6. Ciliated epithelial cell,CL:0000064,CL:0000067,ciliated cell,ciliated epithelial cell,cell,club cell,0,-1,2,-1
1014,1014,1014,1014,3,Lung,0.25,"FCGR2B,HLA-DMB,HLA-DQA1,CLEC10A,CSF2RA,GENE69,GPR183,FPR3,HLA-DPB1,RGS1,GENE28,MS4A6A",Dendritic,dendritic cell,CL:0000451,Dendritic Cells,CL:0000451,B cells,CL:0000236,Monocytes,7. B cell,CL:0000576,CL:0000236,monocyte,b cell,dendritic cell,b cell,-1,-1,0,-1
1015,1015,1015,1015,3,Lung,0.25,"C1S,LUM,ABLIM1,CFD,C3,C1R,GENE20,FBLN1,DCN,SLIT2,GENE53,ADH1B",Fibroblast,fibroblast,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,8. Fibroblast,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,0,0,0,0
1016,1016,1016,1016,3,Lung,0.25,"TFF3,TFPI,CCL21,GENE70,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,GENE85,TIMP3,TBX1",Lymphatic,,,Pulmonary Epithelial Cells,CL:0000322,Goblet cells,CL:0000160,Lymphatic Endothelial Cells,9. Lymphatic endothelial cell,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,pulmonary alveolar epithelial cell,goblet cell,-1,-1,-1,-1
1017,1017,1017,1017,3,Lung,0.25,"APOC1,C1QB,GENE59,C1QA,VSIG4,SLCO2B1,GENE11,ACP5,ITGAX,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,Macrophages,CL:0000235,Macrophages,10. Macrophage,CL:0000235,CL:0000235,macrophage,macrophage,macrophage,macrophage,0,0,0,0
1018,1018,1018,1018,3,Lung,0.25,"KLRF1,GNLY,GZMB,GENE89,GENE32,FCGR3A,NKG7,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,Natural Killer (NK) Cells,CL:0000623,Natural killer cells,CL:0000623,NK cells,11. Natural Killer cell,CL:0000623,CL:0000623,natural killer cell,natural killer cell,natural killer cell,natural killer cell,0,0,0,0
1019,1019,1019,1019,3,Lung,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE61,GENE86,HSP90B1,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,Plasma Cells,CL:0000786,Plasma cells,CL:0000786,Plasma cells,12. Plasma cell,CL:0000786,CL:0000786,plasma cell,plasma cell,plasma cell,plasma cell,0,0,0,0
1020,1020,1020,1020,3,Lung,0.25,"SFTPA2,SLC34A2,SFTPC,LAMP3,ABCA3,GENE42,SFTPA1,SFTPD,GENE85,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,Alveolar type II cells,CL:0002063,Alveolar epithelial cells,CL:0000322,Alveolar Type II Cells,13. Alveolar Type II cell,CL:0002063,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar epithelial cell,0,0,0,1
1021,1021,1021,1021,3,Lung,0.25,"KIT,GENE58,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE69,CD44,MS4A2,TPSAB1,GATA2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",Mast cells,CL:0000097,Mast cells,CL:0000097,Mast cells,14. Mast cell,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mast cell,-1,-1,-1,-1
1022,1022,1022,1022,3,Lung,0.25,"LILRB2,GENE27,COTL1,RPS19,LST1,AIF1,FCGR3A,SAT1,RHOC,FCN1,GENE53,IFITM2",CD16+ Monocyte,,,Macrophages,CL:0000235,Macrophages,CL:0000235,Monocytes,15. Macrophage,CL:0000576,CL:0000235,monocyte,macrophage,macrophage,macrophage,-1,-1,-1,-1
1023,1023,1023,1023,3,Lung,0.25,"CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,GENE71,CD81,FCN3,EPAS1,FLNB,GENE55",Capillary,,,Endothelial cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,16. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,-1,-1,-1,-1
1024,1024,1024,1024,3,Lung,0.25,"CD3D,GZMH,CD3G,CD8B,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27,GENE2,GENE64",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,Cytotoxic T cells,CL:0000910,CD8+ T cells,CL:0000625,T cells,17. Cytotoxic T cell,CL:0000084,CL:0000910,t cell,cytotoxic t cell,cytotoxic t cell,"CD8-positive, alpha-beta T cell",3,-1,-1,0
1025,1025,1025,1025,3,Lung,0.25,"SCGB3A2,GENE61,DSTN,CYB5A,CEACAM6,PIGR,GENE85,CTSE,SFTPB,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,Club cells,CL:0000158,Clara cells,CL:0000158,Club Cells,18. Alveolar Type II cell,CL:0000158,CL:0002063,club cell,pulmonary alveolar type 2 cell,club cell,club cell,0,-1,0,0
1026,1026,1026,1026,3,Lung,0.25,"CALD1,GENE52,ASPN,COL6A3,POSTN,LTBP1,BGN,GENE72,COL3A1,COL1A1,COL1A2,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,19. Fibroblast,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,-1,-1,-1,-1
1027,1027,1027,1027,3,Lung,0.25,"GENE13,PTPRE,GZMB,IRF7,TYROBP,GENE37,PLD4,NPC2,PPP1R14B,IL3RA,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,Natural killer cells,CL:0000623,Natural killer T cells,CL:0000623,Dendritic Cells,20. Dendritic cell,CL:0000451,CL:0000451,dendritic cell,dendritic cell,natural killer cell,natural killer cell,1,1,-1,-1
1028,1028,1028,1028,3,Lung,0.25,"TPX2,BIRC5,GENE26,NUSAP1,STMN1,UBE2C,TYMS,ANLN,KPNA2,CDK1,H2AFZ,GENE20",Proliferating Macrophage,,,Proliferating cells,CL:4033068,Proliferating epithelial cells,CL:0000066,Cycling Cells,21. Mitotic cells,CL:4033068,CL:0000646,cycling B cell,basal cell,cycling B cell,epithelial cell,-1,-1,-1,-1
1029,1029,1029,1029,3,Lung,0.25,"BIRC5,GENE94,NUSAP1,KIF2C,SMC4,UBE2C,H2AFV,AURKB,CENPF,GENE4,HMGB2,TOP2A",Proliferating NK/T,,,Proliferating cells,CL:4033068,Cancer cells,CL:0001064,Cycling Cells,22. Mitotic cells,CL:4033068,CL:0000646,cycling B cell,basal cell,cycling B cell,malignant cell,-1,-1,-1,-1
1030,1030,1030,1030,3,Lung,0.25,"GENE22,GENE30,POSTN,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,Fibroblasts,CL:0000057,Endothelial cells,CL:0000115,Endothelial Cells,23. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,fibroblast,endothelial cell,-1,-1,-1,-1
1031,1031,1031,1031,3,Lung,0.25,"GENE98,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,GENE81,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,Club Cells,CL:0000158,Clara cells,CL:0000158,Club Cells,24. Club cell,CL:0000158,CL:0000158,club cell,club cell,club cell,club cell,-1,-1,-1,-1
1032,1032,1032,1032,3,Lung,0.25,"PTPRB,GENE79,PRSS23,TGM2,VWF,LIFR,SELP,PLA1A,GENE77,CPE,SRPX,SLCO2A1",Vein,,,Endothelial Cells,CL:0000115,Alveolar type II cells,CL:0002063,Endothelial Cells,25. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,pulmonary alveolar type 2 cell,-1,-1,-1,-1
1033,1033,1033,1033,3,Lung,0.25,"CHN1,CALD1,COL4A2,GENE40,NID1,COL4A1,LAMB1,GENE81,COX4I2,TACC1,PDGFRB,LAMC3",Pericyte,pericyte,CL:0000669,Basal Cells,CL:0000646,Fibroblasts,CL:0000057,Astrocytes,26. Endothelial/Fibroblast,CL:0000127,CL:0000057,astrocyte,fibroblast,basal cell,fibroblast,-1,10,-1,10
1034,1034,1034,1034,3,Lung,0.25,"CALD1,TPM2,PLN,DSTN,GENE11,CSRP1,GENE49,ACTA2,CNN1,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,Smooth muscle cells,CL:0000192,Smooth Muscle Cells,1. Smooth muscle cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,0,0,0,0
1035,1035,1035,1035,3,Lung,0.25,"PTPRB,DKK2,HEY1,GJA5,FBLN5,SEMA3G,GENE17,EFNB2,BMX,GENE49,EPAS1,ARGLU1",Artery,,,Endothelial Cells,CL:0000115,Macrophages,CL:0000235,Endothelial Cells,2. Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,macrophage,-1,-1,-1,-1
