,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
305,305,305,Lung,1,0.75,"SDPR,CLDN5,TM4SF1,RAMP2,PPFIBP1,IGFBP7,CCL21",Lymphatic EC mature,,,endothelial cell,"Plasma, Lymphatic","Club, Basal, Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary Intermediate 1, Capillary Intermediate 2, Alveolar Fibroblast, Basophil/Mast 1, Basophil/Mast 2, Platelet/Megakaryocyte",Alveolar Epithelial Type 1,"Basophil/Mast, Ciliated"
306,306,306,Lung,1,0.75,"AKAP12,TFF3,IGFBP7,GNG11,SDPR,CCL21,TFPI",Lymphatic EC differentiating,,,endothelial cell,Capillary Aerocyte,"Capillary, Capillary Intermediate 1, Bronchial Vessel 2, Lymphatic, Airway Smooth Muscle, Adventitial Fibroblast, EREG+ Dendritic","Monocyte, Dendritic","Lymphatic, Dendritic"
307,307,307,Lung,1,0.75,"CORO1A,ITGB2,MS4A6A,HLA-DPA1,HLA-DQB1,GPR183,HLA-DMA",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,"Myeloid Dendritic, T cell, NK cell","CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T, Myeloid Dendritic Type 2, TREM2+ Dendritic, Nonclassical Monocyte, Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Mesothelial, Macrophage, Proliferating Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic",Macrophage,"Mucous, Capillary Aerocyte"
308,308,308,Lung,1,0.75,"GPX3,SPARCL1,MT1X,TPM2,CYR61,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,Smooth Muscle,"Mucous, Neuroendocrine, Artery, Vein, Capillary Aerocyte, Capillary Intermediate 1, Pericyte, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte",Basophil/Mast,"Basophil/Mast, Proliferating"
309,309,309,Lung,1,0.75,"CPA3,TPSB2,KIT,GATA2,VWA5A,RGS13,MS4A2",Mast cells,mast cell,CL:0000097,granulocyte,Mast Cells,"Basophil/Mast 1, Basophil/Mast 2, Ionocyte, Capillary, Capillary Intermediate 1, Proximal Ciliated, Alveolar Fibroblast",Basophil/Mast,"Basophil/Mast, Epithelial"
310,310,310,Lung,1,0.75,"LMOD1,ACTG2,PLN,PPP1R14A,NEXN,IGFBP7,FLNA",Fibromyocytes,,,muscle cell,"Alveolar Epithelial Type 1, Airway Smooth Muscle, Vascular Smooth Muscle, Platelet/Megakaryocyte","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,Airway Smooth Muscle
311,311,311,Lung,1,0.75,"HMGN1,COX20,S100A16,MARCKS,ECSCR,HMGN2,TUBB",Lymphatic EC proliferating,,,endothelial cell,"Basal, Proximal Basal, Differentiating Basal, Proliferating Basal, Goblet, Lymphatic, Plasma, Macrophage, Platelet/Megakaryocyte","Proximal Basal, Differentiating Basal, Proliferating Basal, Goblet, Ionocyte, Bronchial Vessel 1, Lymphatic, Myofibroblast, Mesothelial, Proliferating NK/T, Basophil/Mast 1, Basophil/Mast 2, Platelet/Megakaryocyte, Proliferating Macrophage, Plasmacytoid Dendritic, Myeloid Dendritic Type 2",Proliferating NK/T,Basal
312,312,312,Lung,1,0.75,"FBXL7,KALRN,ST6GALNAC3,PKHD1L1,PPFIBP1,LDB2,MMRN1",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,"Lymphatic, Alveolar Epithelial Type 1, Alveolar Fibroblast","Alveolar Epithelial Type 1, Myofibroblast, Adventitial Fibroblast, Basophil/Mast 1, Basophil/Mast 2, Lymphatic",Lymphatic,Basal
313,313,313,Lung,1,0.75,"LMO7,KHDRBS2,RBMS3,NTM,LIMCH1,RAB11FIP1,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell,"Alveolar Epithelial Type 1, Alveolar Epithelial Type 2","Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Vein, Alveolar Fibroblast",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
314,314,314,Lung,1,0.75,"SFTPC,SFTPB,MACROD2,AUTS2,LRRK2,PDE4D,ANK3",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Plasma, Club, Basal, Proximal Basal, Proliferating Basal, Macrophage, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
315,315,315,Lung,1,0.75,"SSBP2,KRT17,FAF1,TP63,XPR1,MACROD2,RBMS3",Epithelial cell (basal),basal cell,CL:0000646,stem cell,"Basal, Proximal Basal, Differentiating Basal, Proliferating Basal, Platelet/Megakaryocyte","Basal, Proximal Basal, Platelet/Megakaryocyte",Basal,Basal
316,316,316,Lung,1,0.75,"STK33,HYDIN,CFAP54,C4orf22,LRRIQ1,DNAH7,CDHR3",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,"Ciliated, Proximal Ciliated","Ciliated, Proximal Ciliated",Ciliated,Ciliated
317,317,317,Lung,1,0.75,"KIAA1324,MACROD2,KIAA1217,NEDD4L,MECOM,ERBB4,BMPR1B",Epithelial cell (club),club cell,CL:0000158,epithelial cell,"Club, Alveolar Epithelial Type 2, Capillary Intermediate 1","Club, Differentiating Basal, Goblet, Serous, Ionocyte, Neuroendocrine, Signaling Alveolar Epithelial Type 2, Alveolar Epithelial Type 1, Capillary, Capillary Intermediate 1",Signaling Alveolar Epithelial Type 2,Club
318,318,318,Lung,1,0.75,"PLCG2,MEF2C,RALGPS2,DENND5B,PDK1,FBXW7,CREB3L2",Immune (B cell),B cell,CL:0000236,b cell,"Ionocyte, B, Artery, Plasma, Platelet/Megakaryocyte","Ionocyte, Artery, B, Plasma, Platelet/Megakaryocyte, Capillary",B,Signaling Alveolar Epithelial Type 2
319,319,319,Lung,1,0.75,"SKAP1,B2M,KLRD1,FYN,PIP4K2A,PRKCH,ARHGAP15",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,"Natural Killer, CD8+ Naive T, CD8+ Memory/Effector T, CD4+ Memory/Effector T, Natural Killer T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T, Pericyte, Natural Killer, Platelet/Megakaryocyte",Natural Killer T,Signaling Alveolar Epithelial Type 2
320,320,320,Lung,1,0.75,"ARHGAP15,THEMIS,PARP8,SYTL3,SKAP1,FKBP5,PTPRC",Immune (T cell),T cell,CL:0000084,t/nk cell,"CD8+ Memory/Effector T, CD4+ Memory/Effector T, CD4+ Naive T","CD8+ Memory/Effector T, CD4+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Basophil/Mast 1, Basophil/Mast 2",T cell,Natural Killer T
321,321,321,Lung,1,0.75,"ZEB2,GPCPD1,PPARG,TFRC,FMNL2,PLXDC2,MSR1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,"Macrophage, TREM2+ Dendritic","Vascular Smooth Muscle, Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte",Dendritic/Monocyte mixture,Macrophage
322,322,322,Lung,1,0.75,"TPSB2,KIT,SAMSN1,ARHGAP15,IL18R1,SRGN,SYTL3",Immune (mast cell),mast cell,CL:0000097,granulocyte,"Basophil/Mast, Basophil/Mast 2","Vascular Smooth Muscle, CD8+ Memory/Effector T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast,Basophil/Mast 1
323,323,323,Lung,1,0.75,"CACNA1C,MYH11,CALD1,EBF1,DMD,PRKG1,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell","Vascular Smooth Muscle, Pericyte","Vascular Smooth Muscle, Pericyte, Basal, Proliferating Basal, Neuroendocrine",Smooth Muscle,Vascular Smooth Muscle
324,324,324,Lung,1,0.75,"CALCRL,EGFL7,PTPRM,TIMP3,ST6GALNAC3,LDB2,PTPRB",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell,"Capillary, Capillary Intermediate 1","Artery, Vein, Capillary, Vascular Smooth Muscle, Signaling Alveolar Epithelial Type 2, Neuroendocrine, Platelet/Megakaryocyte",Capillary,Capillary Intermediate 1
325,325,325,Lung,1,0.75,"ARHGAP6,LAMA2,SLIT2,LSAMP,PLXDC2,PLEKHH2,RBMS3",Fibroblast,fibroblast,CL:0000057,fibroblast,"Capillary Intermediate 1, Pericyte","Capillary Intermediate 1, Pericyte, Adventitial Fibroblast, Alveolar Fibroblast, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, Ionocyte, Neuroendocrine, Artery",Pericyte,Alveolar Epithelial Type 1
326,326,326,Lung,1,0.75,"ZEB2,CTSB,CD74,PIK3R5,PLXDC2,SRGN,SLC8A1",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte","Macrophage, TREM2+ Dendritic","Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Macrophage, Proliferating Macrophage, Plasmacytoid Dendritic, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic",Monocyte/Dendritic mixture,Ciliated
327,327,327,Lung,1,0.75,"LPIN1,G0S2,ACSL1,ADIPOQ,PLIN1,PLIN2,PPARG",Adipocyte,fat cell,CL:0000136,fat cell,"Lipofibroblast, Adipocyte, Classical Monocyte","Ciliated, Neuroendocrine, CD4+ Memory/Effector T, Natural Killer T, Alveolar Fibroblast, Lipofibroblast, Ionocyte, Macrophage, IGSF21+ Dendritic, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte",Macrophage,Alveolar Fibroblast
328,328,328,Lung,1,0.75,"HOPX,EMP2,CAV1",Alveolar Type I,type I pneumocyte,CL:0002062,epithelial cell,"Alveolar Epithelial Type 1, Capillary Aerocyte","Club, Alveolar Epithelial Type 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 1, Vascular Smooth Muscle, Fibromyocyte, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T",Alveolar Epithelial,Signaling Alveolar Epithelial Type 2
329,329,329,Lung,1,0.75,"SFTPB,LAMP3,SLC34A2",Alveolar Type II,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
330,330,330,Lung,1,0.75,"CR2,CD24,FAS",B cell_memory,memory B cell,CL:0000787,b cell,B cell,"B, Nonclassical Monocyte",B,Natural Killer T
331,331,331,Lung,1,0.75,"CDHR3,DNAI2,DNAI1,TUBA1A,FAM92B,FOXJ1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated,"Ciliated, Proximal Ciliated",Ciliated,Ciliated
332,332,332,Lung,1,0.75,"CYP2F2,SCGB3A2,BPIFA1,SLPI,SCGB1A1",Club Epithelial,club cell,CL:0000158,epithelial cell,"Club, Goblet, Mucous","Mucous, Serous, Club",Club,Club
333,333,333,Lung,1,0.75,"IGFBP3,COL5A2,IL6,CCN2,VIM,COL6A6,FBN1,HGF,DDR2,COL3A1,IL33,COL5A1,COL18A1,COL1A1,SLIT2,IGFBP5,NEGR1,COL4A1",Fibroblast,fibroblast,CL:0000057,fibroblast,Myofibroblast,"Artery, Myofibroblast, Macrophage, Club",Myofibroblast,Basal
334,334,334,Lung,1,0.75,"FLT4,MMRN1,LYVE1,CCL21",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Vein",Lymphatic,Lymphatic
335,335,335,Lung,1,0.75,"CD36,MS4A6A,PTPRC,C1QA,MRC1,MS4A4A,CD68,MS4A6A,LYVE1,MR1,LYZ,RBPJ,CSF1R,MERTK,CD163",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,"Vascular Smooth Muscle, Proliferating Macrophage, Platelet/Megakaryocyte, Classical Monocyte",Classical Monocyte,Plasmacytoid Dendritic
336,336,336,Lung,1,0.75,"FCER1A,TPSB2,HDC,KIT",Mast Cell,mast cell,CL:0000097,granulocyte,Basophil/Mast,"Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast Cell,Fibromyocyte
337,337,337,Lung,1,0.75,"ACTA2,CSPG4,PDGFRB,PDGFRB,MYO1B,DES",Pericyte,pericyte,CL:0000669,pericyte,Smooth Muscle,"Airway Smooth Muscle, Pericyte",Pericyte,Vascular Smooth Muscle
338,338,338,Lung,1,0.75,"MYOCD,MYL9,TAGLN,ACTA2,PALLD,DES,VCL,SMTN,ACTG2,CNN1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Ciliated, Fibromyocyte",Vascular Smooth Muscle,Airway Smooth Muscle
339,339,339,Lung,1,0.75,"PTPRC,CD3D,CD3E,TRAC,TRBC1,NKG7,CD96,THEMIS,CD3G",T cell,T cell,CL:0000084,t/nk cell,T Cell,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T",T,CD8+ Memory/Effector T
340,340,340,Lung,1,0.75,"BACE2,CD300LG,VWF,PECAM1,EPHB4,NOSTRIN,CLDN5",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,"Macrophage, Proliferating Macrophage, Intermediate Monocyte","Macrophage, Bronchial Vessel 1, Vein, Capillary Aerocyte, Signaling Alveolar Epithelial Type 2","Mixture of multiple cell types including Ciliated, Vein, Capillary, Macrophage, Monocyte","Bronchial Vessel 1, Capillary, Vascular Smooth Muscle, Vein, Classical Monocyte"
341,341,341,Lung,1,0.75,"HOPX,MUC1,SFTPB,SFTPA1,SFTA2,PGC,SFTPD",type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Club, Alveolar Epithelial Type 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial Type 1 and Alveolar Epithelial Type 2,"Club, Alveolar Epithelial Type 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2"
342,342,342,Lung,1,0.75,"CXCR2,MMP25,S100A12,MGAM,FCGR3B,MTND5P32,PROK2",neutrophil,neutrophil,CL:0000775,granulocyte,Classical Monocyte,"Natural Killer, Classical Monocyte, Nonclassical Monocyte",Classical Monocyte and OLR1+ Classical Monocyte,"Classical Monocyte, Mucous, Ciliated, Bronchial Vessel 1, Lymphatic, MMP25"
343,343,343,Lung,1,0.75,"CD3E,CD3G,IL32,IL7R,CD3D,CD69,TRAC","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T Cell,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T",CD8+ and CD4+ T cells,"CD8+ Naive T, CD4+ Memory/Effector T, CD8+ Memory/Effector T, T-cell"
344,344,344,Lung,1,0.75,"GNLY,CD3E,NKG7,CCL4,GZMA,KLRD1,IL32","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,"CD8+ Memory/Effector T, Natural Killer, Proliferating NK/T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",Natural Killer T and CD8+ T cells,"Natural Killer, CD8+ Naive T, CD4+ Naive T, CD8+ Memory/Effector T"
345,345,345,Lung,1,0.75,"CST7,GZMA,KLRF1,GNLY,KLRD1,GZMB,PRF1",nk cell,natural killer cell,CL:0000623,t/nk cell,"CD8+ Memory/Effector T, Natural Killer, Proliferating NK/T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",Natural Killer,"Proliferating NK/T, Natural Killer T, CD8+ Memory/Effector T, Natural Killer"
346,346,346,Lung,1,0.75,"SELE,NEURL1B,ADAMTS4,RBP5,CYTL1,POSTN,PLVAP",bronchial vessel endothelial cell,,,endothelial cell,"Vein, Bronchial Vessel 1","Vein, Bronchial Vessel 1, Adventitial Fibroblast, Lipofibroblast","Vein, Bronchial Vessel 1","Vascular Smooth Muscle, Adventitial Fibroblast, Vein, Bronchial Vessel 1"
347,347,347,Lung,1,0.75,"AC100803.2,ADRA2C,JPH2,CCN5,MYH11,CNN1,FOXC2",smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Airway Smooth Muscle, Vascular Smooth Muscle",Airway Smooth Muscle,"Airway Smooth Muscle, Vein, Vascular Smooth Muscle"
348,348,348,Lung,1,0.75,"FBLN1,MFAP4,PLA2G2A,MGP,SERPINF1,MFAP5,DCN",adventitial cell,adventitial cell,CL:0002503,adventitial cell,"Adventitial Fibroblast, Alveolar Fibroblast","Basal, Lymphatic, Adventitial Fibroblast, Alveolar Fibroblast",Mixture of multiple cell types including Adventitial Fibroblast and Lymphatic,"Basal, Alveolar Fibroblast, Adventitial Fibroblast, Differentiating Basal"
349,349,349,Lung,1,0.75,"FABP4,MS4A7,C1QA,APOE,ACP5,MRC1,MARCO",macrophage,macrophage,CL:0000235,macrophage/monocyte,"Macrophage, Proliferating Macrophage","Lymphatic, Macrophage, Proliferating Macrophage, Alveolar Fibroblast, Signaling Alveolar Epithelial Type 2, Macrophage, Proliferating Macrophage, TREM2+ Dendritic",Macrophage,"Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Plasmacytoid Dendritic"
350,350,350,Lung,1,0.75,"HPGDS,GATA2,CD69,CPA3,VWA5A,TPSB2,MS4A2",basophil,basophil,CL:0000767,granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast,Basophil/Mast
351,351,351,Lung,1,0.75,"FCN1,VSIR,COTL1,MNDA,CD300E,S100A9,VCAN",classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte,"Myeloid Dendritic Type 2, Myeloid Dendritic Type 1, EREG+ Dendritic, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte","EREG+ Dendritic, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Monocyte,B
352,352,352,Lung,1,0.75,"SOX17,NOS1,DKK2,MMRN2,NPR3,SSTR1,PTPRB",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell,Artery,Artery,Vascular,T cell
353,353,353,Lung,1,0.75,"PIFO,RSPH1,TPPP3,C11orf88,C1orf194,CAPS,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell,"Ciliated, Proximal Ciliated, Platelet/Megakaryocyte","Ciliated, Proximal Ciliated, Platelet/Megakaryocyte",Ciliated,"Macrophage, Dendritic"
354,354,354,Lung,1,0.75,"CD1E,S100B,FCGR2B,FCER1A,CD1C,PKIB,CLEC10A",dendritic cell,dendritic cell,CL:0000451,dendritic cell,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2","Myeloid Dendritic Type 1, Myeloid Dendritic Type 2",Dendritic,"Monocyte, Dendritic"
355,355,355,Lung,1,0.75,"TSPAN1,SERPINB3,TFF3,SCGB1A1,LCN2,WFDC2,BPIFB1",respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell,"Goblet, Mucous","Proximal Ciliated, Goblet, Mucous, Ionocyte",Goblet,"Goblet, Mucous"
356,356,356,Lung,1,0.75,"KRT17,TACSTD2,ALDH3A1,PERP,KRT5,MIR205HG,KRT19",basal cell,basal cell,CL:0000646,stem cell,"Basal, Proximal Basal, Differentiating Basal, Proliferating Basal","Basal, Proximal Basal, Differentiating Basal, Proliferating Basal",Basal,Basal
357,357,357,Lung,1,0.75,"DERL3,IGHG2,SPAG4,MZB1,IGHA2,CD79A,IGHG3",plasma cell,plasma cell,CL:0000786,b cell,Plasma,"Plasma, Plasmacytoid Dendritic",Plasma,Plasma
358,358,358,Lung,1,0.75,"TNFRSF13C,LINC01781,BLK,VPREB3,TNFRSF13B,MS4A1,CD79A",b cell,B cell,CL:0000236,b cell,B,B,B,B
359,359,359,Lung,1,0.75,"LPO,ANO1,PRB1,C6orf58,PRB3,LINC01829,PRR4",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Serous,"Serous, Alveolar Fibroblast",Serous,Fibromyocyte
360,360,360,Lung,1,0.75,"LST1,AIF1,FCGR3A,HCLS1,MS4A6A,MAFB,RNASE6",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,"Nonclassical Monocyte, Intermediate Monocyte, Classical Monocyte","Nonclassical Monocyte, Intermediate Monocyte, Classical Monocyte, Myeloid Dendritic Type 2, Proliferating Macrophage, Macrophage, Natural Killer",Classical Monocyte,"Myeloid Dendritic Type 2, Classical Monocyte, Macrophage, IGSF21+ Dendritic, Nonclassical Monocyte"
361,361,361,Lung,1,0.75,"RAMP2,FAM107A,SLC6A4,FCN3,VWF,TIMP3,CLDN5",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,"Platelet/Megakaryocyte, Pericyte, Capillary Intermediate 1, Capillary Intermediate 2","Capillary, Capillary Intermediate 2, Capillary Intermediate 1, Vein, Capillary Aerocyte, Platelet/Megakaryocyte",Capillary Intermediate 1,"Alveolar Epithelial Type 1, Capillary, Vein"
362,362,362,Lung,1,0.75,"TIMP3,HPGD,CLDN5,RAMP2,GNG11,SPARCL1,EMCN",capillary aerocyte,,,epithelial cell,"Airway Smooth Muscle, Alveolar Epithelial Type 1, Capillary","Capillary, Capillary Aerocyte, Capillary Intermediate 2, Capillary Intermediate 1, Lymphatic, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte",Capillary Aerocyte,"Myofibroblast, Ionocyte, Alveolar Fibroblast, Vascular Smooth Muscle"
363,363,363,Lung,1,0.75,"NTM,PKDCC,SCEL,MS4A15,ST6GALNAC5,NCKAP5,RTKN2",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,"Alveolar Epithelial Type 1, Alveolar Epithelial Type 1","Alveolar Epithelial Type 1, Myofibroblast, Adventitial Fibroblast, Basophil/Mast 1, Basophil/Mast 2",Alveolar Epithelial Type 1,"Dendritic, Plasmacytoid Dendritic, Alveolar Epithelial Type 1"
364,364,364,Lung,1,0.75,"C7,CLU,SPARCL1,PRSS23,LIFR,ACKR1,VWF",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,"Vein, Bronchial Vessel 1, Adventitial Fibroblast, Alveolar Fibroblast","Vein, Bronchial Vessel 1, Bronchial Vessel 2, Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast",Vein,"Lipofibroblast, Adventitial Fibroblast, Vein"
365,365,365,Lung,1,0.75,"MFAP4,C1S,RARRES2,FBLN1,PTGDS,C7,ADH1B",alveolar fibroblast,,,fibroblast,"Lymphatic, Adventitial Fibroblast, Alveolar Fibroblast","Alveolar Fibroblast, Adventitial Fibroblast, Lipofibroblast, Capillary, Capillary Intermediate 2, Vein, Basophil/Mast 1, Basophil/Mast 2",Adventitial Fibroblast,"Lymphatic, Neuroendocrine"
366,366,366,Lung,1,0.75,"SCN3B,STAB2,MMRN1,PROX1,GPR182,FOXC2,HOXD9",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,Lymphatic,Lymphatic,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte"
367,367,367,Lung,1,0.75,"CRYAB,PPP1R14A,CNN1,LMOD1,MYH11,PLN,PLAC9",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle, Smooth Muscle","Alveolar Epithelial Type 1, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Airway Smooth Muscle,"Plasmacytoid Dendritic, B"
368,368,368,Lung,1,0.75,"MZB1,FAM129C,CLEC4C,LAMP5,AL139020.1,SPIB,PLD4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"Plasma, Plasmacytoid Dendritic",Plasmacytoid Dendritic,"Plasmacytoid Dendritic, Alveolar Epithelial Type 1, Natural Killer, Basophil/Mast"
369,369,369,Lung,1,0.75,"NEDD4L,GPRC5A,WFDC2,SCGB3A2,CYP2B7P,ELF3,SFTPB",club cell,club cell,CL:0000158,epithelial cell,"Club, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2","Club, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Differentiating Basal, Goblet, Proliferating Basal, Vein, Vascular Smooth Muscle, Mesothelial, CD8+ Naive T, Natural Killer, Proliferating NK/T",Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Club, Adventitial Fibroblast"
370,370,370,Lung,1,0.75,"PLVAP,VWF,C7,LIFR,NPDC1,IGFBP7,SPARCL1",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,Bronchial Vessel 1,"Bronchial Vessel 1, Vein, Alveolar Fibroblast, Capillary",Bronchial Vessel 1,Bronchial Vessel
371,371,371,Lung,1,0.75,"MYH11,COX4I2,PPP1R14A,BGN,GJA4,LMOD1,PRELP",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Vascular Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte",Vascular Smooth Muscle,Vascular Smooth Muscle
372,372,372,Lung,1,0.75,"LRRC38,KCTD8,SYT4,LINC01902,MKRN9P,FABP7,AC005821.1",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Neuroendocrine,Neuroendocrine,Neuroendocrine,Neuroendocrine
373,373,373,Lung,1,0.75,"TPM2,INMT,PPP1R14A,BGN,HIGD1B,NDUFA4L2,COX4I2",pericyte cell,pericyte,CL:0000669,pericyte,Pericyte,"Basal, Proximal Basal, Proliferating Basal, Airway Smooth Muscle, Vascular Smooth Muscle, Capillary Aerocyte, Pericyte, Myofibroblast",Airway Smooth Muscle,"Myofibroblast, Vascular Smooth Muscle"
374,374,374,Lung,1,0.75,"BCHE,RSPO1,HAS1,SYT4,ITLN1,BNC1,ROR2",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Alveolar Fibroblast,"Myofibroblast, Alveolar Fibroblast, Adventitial Fibroblast, Lipofibroblast, Mesothelial, Neuroendocrine",Myofibroblast,"Lymphatic, Adventitial Fibroblast, Alveolar Fibroblast"
