,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
75,2075,2075,2075,Lung,5,0.25,"EID1,LSM2",Lymphatic EC proliferating,,,endothelial cell,9. Unknown specific cell type,Neurons,Proliferating Cell,Immune cells,neuron,CL:0000540,type EC enteroendocrine cell,CL:0000577,cycling B cell,CL:4033068,leukocyte,CL:0000738,4,1,-1,-1,0.1667,0.2857,0.5000,0.8333
76,2076,2076,2076,Lung,5,0.25,"PKHD1L1,MMRN1",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,10. Unknown specific cell type,Endothelial cells,Smooth Muscle Cell,Ciliated cells,endothelial cell,CL:0000115,type EC enteroendocrine cell,CL:0000577,smooth muscle cell,CL:0000192,ciliated cell,CL:0000064,2,-1,-1,-1,0.2500,0.3333,0.6000,0.2500
77,2077,2077,2077,Lung,5,0.25,"NTM,NCKAP5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell,11. Neurons,Neurons,Neuron,Bronchiolar epithelial cells,neuron,CL:0000540,neuron,CL:0000540,neuron,CL:0000540,bronchiolar smooth muscle cell,CL:4033017,9,9,9,-1,0.2500,0.1818,0.2500,0.2500
78,2078,2078,2078,Lung,5,0.25,"ABCA3,AUTS2",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,12. Type II alveolar cells,Alveolar type II cells,Type II Pneumocyte,Basal cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,type II pneumocyte differentiation,GO:0060510,basal cell,CL:0000646,0,0,-1,-1,-1,0.2857,1.0000,1.0000
79,2079,2079,2079,Lung,5,0.25,"KRT17,EYA2",Epithelial cell (basal),basal cell,CL:0000646,stem cell,13. Epithelial cells,Squamous epithelial cells,Basal Cell,Neuroendocrine cells,squamous epithelial cell,CL:0000076,epithelial cell,CL:0000066,basal cell,CL:0000646,neuroendocrine cell,CL:0000165,-1,17,0,-1,1.0000,0.2857,0.2857,0.3333
80,2080,2080,2080,Lung,5,0.25,"CFAP54,STK33",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,14. Unknown specific cell type,Spermatocytes,Ciliated epithelial cells,ciliated cells,spermatocyte,CL:0000017,type EC enteroendocrine cell,CL:0000577,ciliated epithelial cell,CL:0000067,ciliated cell,CL:0000064,-1,-1,0,1,1.0000,0.7500,0.1429,0.4286
81,2081,2081,2081,Lung,5,0.25,"NEDD4L,CDK14",Epithelial cell (club),club cell,CL:0000158,epithelial cell,15. Unknown specific cell type,Neurons,Type II alveolar cells,club cells,neuron,CL:0000540,type EC enteroendocrine cell,CL:0000577,pulmonary alveolar type 2 cell,CL:0002063,club cell,CL:0000158,10,-1,-1,0,0.5455,1.0000,0.3333,0.4000
82,2082,2082,2082,Lung,5,0.25,"MEF2C,CREB3L2",Immune (B cell),B cell,CL:0000236,b cell,16. Muscle cells,Neuronal cells,Smooth muscle cells,alveolar type II cells,neuronal receptor cell,CL:0000006,muscle cell,CL:0000187,smooth muscle cell,CL:0000192,pulmonary alveolar type 2 cell,CL:0002063,-1,23,-1,-1,0.2000,0.2222,0.2222,0.2500
83,2083,2083,2083,Lung,5,0.25,"AOAH,B2M",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,"17. Monocytes, Macrophages",Monocytes,Alveolar macrophages,macrophages,monocyte,CL:0000576,macrophage,CL:0000235,alveolar macrophage,CL:0000583,macrophage,CL:0000235,-1,-1,-1,-1,0.3333,0.4000,0.4000,0.4000
84,2084,2084,2084,Lung,5,0.25,"SKAP1,BCL2",Immune (T cell),T cell,CL:0000084,t/nk cell,18. Lymphocytes,T cells,Lymphocytes,lymphocytes,t cell,CL:0000084,lymphocyte,CL:0000542,lymphocyte,CL:0000542,lymphocyte,CL:0000542,0,1,1,1,0.8333,0.8333,1.0000,0.8333
85,2085,2085,2085,Lung,5,0.25,"RNF149,PPARG",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,19. Adipocytes,Adipocytes,Adipocytes,fibroblasts,adipocyte,CL:0000136,adipocyte,CL:0000136,adipocyte,CL:0000136,fibroblast,CL:0000057,13,13,13,7,0.2500,0.2500,0.2500,0.2500
86,2086,2086,2086,Lung,5,0.25,"ARHGAP15,SYTL3",Immune (mast cell),mast cell,CL:0000097,granulocyte,20. Unknown specific cell type,Platelets,Fibroblasts,endothelial cells,platelet,CL:0000233,type EC enteroendocrine cell,CL:0000577,fibroblast,CL:0000057,endothelial cell,CL:0000115,-1,-1,10,-1,0.2857,0.3333,0.4286,0.4286
87,2087,2087,2087,Lung,5,0.25,"TPM1,PRKG1",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell",21. Smooth muscle cells,Smooth muscle cells,Smooth muscle cells,smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,-1,-1,-1,-1,-1,-1,-1,-1
88,2088,2088,2088,Lung,5,0.25,"TIMP3,CALCRL",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell,22. Endothelial cells,Endothelial cells,Vascular endothelial cells,fibroblast-like cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell of vascular tree,CL:0002139,alveolar type 1 fibroblast cell,CL:4028004,1,1,0,-1,1.0000,0.2857,0.7500,0.7500
89,2089,2089,2089,Lung,5,0.25,"LSAMP,RORA",Fibroblast,fibroblast,CL:0000057,fibroblast,23. Neurons,Neurons,Neurons,neuronal cells,neuron,CL:0000540,neuron,CL:0000540,neuron,CL:0000540,neuronal receptor cell,CL:0000006,10,10,10,-1,0.3333,0.3333,0.3333,0.3333
90,2090,2090,2090,Lung,5,0.25,"PIK3R5,SLC8A1",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte",24. Cardiac cells,T cells,Ionocyte,PIK3R5+ SLC8A1+ cells,t cell,CL:0000084,cardiac mesenchymal cell,CL:0000569,ionocyte,CL:0005006,cell,CL:0000000,-1,-1,-1,-1,-1,-1,-1,-1
91,2091,2091,2091,Lung,5,0.25,"GHR,PLIN2",Adipocyte,fat cell,CL:0000136,fat cell,25. Adipocytes,Adipocytes,Alveolar Type II Cell,GHR+ PLIN2+ cells,adipocyte,CL:0000136,adipocyte,CL:0000136,pulmonary alveolar type 2 cell,CL:0002063,cell,CL:0000000,0,0,-1,2,0.3333,0.3333,1.0000,1.0000
92,2092,2092,2092,Lung,5,0.25,EMP2,Alveolar Type I,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type II cells,EMP2 - Endothelial Cells,Fibroblast,EMP2+ cells,endothelial cell,CL:0000115,pulmonary alveolar type 2 cell,CL:0002063,fibroblast,CL:0000057,cell,CL:0000000,16,-1,9,5,0.2500,0.1667,0.2857,0.7143
93,2093,2093,2093,Lung,5,0.25,SFTPC,Alveolar Type II,type II pneumocyte,CL:0002063,epithelial cell,Bronchial Epithelial cells,SFTPC - Alveolar Type II Cells,Alveolar Type II Cell,SFTPC+ cells,pulmonary alveolar type 2 cell,CL:0002063,bronchial epithelial cell,CL:0002328,pulmonary alveolar type 2 cell,CL:0002063,bronchioalveolar stem cell,CL:0002638,0,-1,0,-1,1.0000,0.2222,1.0000,0.5455
94,2094,2094,2094,Lung,5,0.25,CD24,B cell_memory,memory B cell,CL:0000787,b cell,B cells,CD24 - Early B Cells,Epithelial Cell,CD24+ cells,early pro-B cell,CL:0002046,b cell,CL:0000236,epithelial cell,CL:0000066,"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell",CL:4030038,-1,3,12,-1,0.2857,0.2000,0.2000,0.7000
95,2095,2095,2095,Lung,5,0.25,"CDHR3,FAM92B",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,epithelial cell,Chondrocytes,"CDHR3,FAM92B - Epithelial Cells",Ciliated Cell,CDHR3+ FAM92B+ cells,epithelial cell,CL:0000066,chondrocyte,CL:0000138,ciliated cell,CL:0000064,cell,CL:0000000,1,-1,1,3,0.7500,0.2500,0.7500,0.2222
96,2096,2096,2096,Lung,5,0.25,SCGB3A2,Club Epithelial,club cell,CL:0000158,epithelial cell,Club cells,SCGB3A2 - Club Cells,Club Cell,SCGB3A2+ cells,club cell,CL:0000158,club cell,CL:0000158,club cell,CL:0000158,cell,CL:0000000,0,0,0,3,1.0000,0.2500,1.0000,1.0000
97,2097,2097,2097,Lung,5,0.25,"FN1,SLIT2,COL18A1,FBLN1,IGFBP3,IL33",Fibroblast,fibroblast,CL:0000057,fibroblast,Stromal cells,"FN1,SLIT2,COL18A1,FBLN1,IGFBP3,IL33 - Fibroblasts",Mesenchymal Cell,FN1+ SLIT2+ COL18A1+ FBLN1+ IGFBP3+ IL33+ cells,fibroblast,CL:0000057,stromal cell,CL:0000499,mesenchymal cell,CL:0008019,cell,CL:0000000,0,-1,-1,3,0.4000,0.2500,1.0000,0.6000
98,2098,2098,2098,Lung,5,0.25,PROX1,Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic Endothelial cells,PROX1 - Lymphatic Endothelial Cells,Lymphatic Endothelial Cell,PROX1+ cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,cell,CL:0000000,0,0,0,4,1.0000,0.2000,1.0000,1.0000
99,2099,2099,2099,Lung,5,0.25,"CD163,CD36,SLC11A1,LYZ,CPM",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,"CD163,CD36,SLC11A1,LYZ,CPM - Macrophages",Macrophage,CD163+ CD36+ SLC11A1+ LYZ+ CPM+ macrophages,perivascular macrophage,CL:0000881,macrophage,CL:0000235,macrophage,CL:0000235,perivascular macrophage,CL:0000881,-1,0,0,-1,1.0000,0.5556,0.5556,1.0000
100,2100,2100,2100,Lung,5,0.25,KIT,Mast Cell,mast cell,CL:0000097,granulocyte,Mast cells,KIT - Mast Cells,Interstitial cells,Stem cell,mast cell,CL:0000097,mast cell,CL:0000097,interstitial cell,CL:4030031,stem cell,CL:0000034,0,0,-1,4,0.3333,0.3333,1.0000,1.0000
101,2101,2101,2101,Lung,5,0.25,"CSPG4,PDGFRB",Pericyte,pericyte,CL:0000669,pericyte,Pericytes,"CSPG4,PDGFRB - Pericytes",Pericytes,Pericytes or fibroblasts,pericyte,CL:0000669,pericyte,CL:0000669,pericyte,CL:0000669,fibroblast,CL:0000057,0,0,0,10,1.0000,0.6000,1.0000,1.0000
102,2102,2102,2102,Lung,5,0.25,"MYOCD,GUCY1B3,CNN1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Smooth Muscle cells,"MYOCD,GUCY1B3,CNN1 - Smooth Muscle Cells",Smooth muscle cells,Vascular smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,vascular associated smooth muscle cell,CL:0000359,0,0,0,-1,1.0000,0.8000,1.0000,1.0000
103,2103,2103,2103,Lung,5,0.25,"CD69,CD3E,IL7R",T cell,T cell,CL:0000084,t/nk cell,T cells,"CD69,CD3E,IL7R - T Cells",T lymphocytes,T cells,mature T cell,CL:0002419,t cell,CL:0000084,T cell,CL:0000084,t cell,CL:0000084,-1,0,0,0,1.0000,1.0000,0.8571,1.0000
104,2104,2104,2104,Lung,5,0.25,"RAMP3,CLDN5",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,Blood-Brain Barrier Endothelial cells,"RAMP3,CLDN5 - Endothelial Cells",Endothelial cells,Endothelial cells,endothelial cell,CL:0000115,endothelial blood brain barrier,UBERON:0000201,endothelial cell,CL:0000115,endothelial cell,CL:0000115,1,-1,1,1,0.7500,0.7500,0.7500,-1
105,2105,2105,2105,Lung,5,0.25,"NAPSA,SFTPA1",type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell,Type II Pneumocytes,"NAPSA,SFTPA1 - Alveolar Type II Cells",Alveolar epithelial cells,Clara cells or alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,0,-1,1,0,0.8333,1.0000,1.0000,-1
106,2106,2106,2106,Lung,5,0.25,"IL1R2,FCGR3B",neutrophil,neutrophil,CL:0000775,granulocyte,Neutrophils,"IL1R2,FCGR3B - Neutrophils",Neutrophils,Immune cells,neutrophil,CL:0000775,neutrophil,CL:0000775,neutrophil,CL:0000775,leukocyte,CL:0000738,0,0,0,3,1.0000,0.5000,1.0000,1.0000
107,2107,2107,2107,Lung,5,0.25,"IL7R,CD2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,"IL7R,CD2 - T Cells",T lymphocytes,T helper cells,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",CL:0002037,t cell,CL:0000084,T cell,CL:0000084,helper T cell,CL:0000912,-1,3,3,-1,0.6667,0.6364,0.8182,0.6667
108,2108,2108,2108,Lung,5,0.25,"CD3D,GZMA","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,Cytotoxic T cells,"CD3D,GZMA - Cytotoxic T cells",Cytotoxic T cells,CD8+ T cells,cytotoxic T cell,CL:0000910,cytotoxic t cell,CL:0000910,cytotoxic t cell,CL:0000910,"CD8-positive, alpha-beta T cell",CL:0000625,-1,-1,-1,0,0.6364,1.0000,0.6364,0.6364
109,2109,2109,2109,Lung,5,0.25,"GNLY,KLRD1",nk cell,natural killer cell,CL:0000623,t/nk cell,NK cells,"GNLY,KLRD1 - Natural Killer Cells",Natural killer cells,NK cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0,1.0000,1.0000,1.0000,1.0000
110,2110,2110,2110,Lung,5,0.25,"CCL14,ADAMTS4",bronchial vessel endothelial cell,,,endothelial cell,Fibroblasts,"CCL14,ADAMTS4 - Monocytes",Fibroblast,Monocytes/Macrophages,monocyte,CL:0000576,fibroblast,CL:0000057,fibroblast,CL:0000057,macrophage,CL:0000235,-1,6,6,-1,0.2857,0.2500,0.2857,0.2857
111,2111,2111,2111,Lung,5,0.25,"MYH11,HSPB6",smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell,Vascular Smooth Muscle cells,"MYH11,HSPB6 - Smooth Muscle Cells",Smooth Muscle Cell,Smooth Muscle Cells,smooth muscle cell,CL:0000192,vascular associated smooth muscle cell,CL:0000359,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,0,-1,0,0,1.0000,1.0000,1.0000,0.8000
112,2112,2112,2112,Lung,5,0.25,"MFAP5,C1S",adventitial cell,adventitial cell,CL:0002503,adventitial cell,Fibroblasts,"MFAP5,C1S - Fibroblasts",Fibroblast,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1,0.6000,0.6000,0.6000,0.6000
113,2113,2113,2113,Lung,5,0.25,"MS4A7,APOE",macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,"MS4A7,APOE - Macrophages",Macrophage,B cells/T cells,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,T cell,CL:0000084,0,0,0,7,1.0000,0.5000,1.0000,1.0000
114,2114,2114,2114,Lung,5,0.25,"CD69,KIT",basophil,basophil,CL:0000767,granulocyte,"Mast cells, T cells","CD69,KIT - Mast Cells",Mast Cell,Activated T cells,mast cell,CL:0000097,mucosal type mast cell,CL:0000485,mast cell,CL:0000097,activated type II NK T cell,CL:0000931,-1,-1,-1,-1,0.5714,0.2143,0.5714,0.5000
115,2115,2115,2115,Lung,5,0.25,"S100A8,FGL2",classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte,Neutrophils,"S100A8,FGL2 - Myeloid Cells",Dendritic Cell,Myeloid-derived suppressor cells,myeloid cell,CL:0000763,neutrophil,CL:0000775,dendritic cell,CL:0000451,myeloid suppressor cell,CL:0000889,3,-1,4,-1,0.5714,0.5714,0.5000,0.5000
116,2116,2116,2116,Lung,5,0.25,"DKK2,SERPINE2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell,Osteoblasts,"DKK2,SERPINE2 - Fibroblasts",Endothelial Cell,Endothelial Cells,fibroblast,CL:0000057,osteoblast,CL:0000062,endothelial cell,CL:0000115,endothelial cell,CL:0000115,7,-1,3,3,0.5000,0.5000,0.2857,0.2857
117,2117,2117,2117,Lung,5,0.25,"TMEM190,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell,Endothelial cells,Neural/Brain cells,Alveolar Type I Cell,Dendritic Cells,neural cell,CL:0002319,endothelial cell,CL:0000115,pulmonary alveolar type 1 cell,CL:0002062,dendritic cell,CL:0000451,10,15,-1,-1,0.6667,0.2500,0.3333,0.3333
118,2118,2118,2118,Lung,5,0.25,"FCER1A,CLEC5A",dendritic cell,dendritic cell,CL:0000451,dendritic cell,Neutrophils,Mast cells,Dendritic Cell,Clara Cells,mast cell,CL:0000097,neutrophil,CL:0000775,dendritic cell,CL:0000451,club cell,CL:0000158,-1,-1,0,-1,1.0000,0.2857,0.4286,0.3750
119,2119,2119,2119,Lung,5,0.25,"TSPAN1,SCGB3A1",respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell,Club cells,Ciliated epithelial cells,Club Cell,Clara cells/secretory cells,ciliated epithelial cell,CL:0000067,club cell,CL:0000158,club cell,CL:0000158,secretory cell,CL:0000151,6,-1,-1,-1,0.5556,0.1667,0.5000,0.5556
120,2120,2120,2120,Lung,5,0.25,"TACSTD2,KRT19",basal cell,basal cell,CL:0000646,stem cell,Epithelial cells,Epithelial cells,Epithelial cells,"TACSTD2 positive epithelial cells, KRT19 positive club cells",epithelial cell,CL:0000066,epithelial cell,CL:0000066,epithelial cell,CL:0000066,club cell,CL:0000158,17,17,17,-1,0.3333,0.2857,0.3333,0.3333
121,2121,2121,2121,Lung,5,0.25,"DERL3,SPAG4",plasma cell,plasma cell,CL:0000786,b cell,Sperm cells,Endocrine cells,Ciliated cells,"DERL3 positive epithelial cells, SPAG4 positive ciliated cells",endocrine cell,CL:0000163,sperm,CL:0000019,ciliated cell,CL:0000064,ciliated epithelial cell,CL:0000067,-1,-1,-1,-1,0.2222,0.2000,0.2222,0.2222
122,2122,2122,2122,Lung,5,0.25,"TNFRSF13C,BLK",b cell,B cell,CL:0000236,b cell,B cells,B cells,B cells,"TNFRSF13C positive B cells, BLK positive immune cells",b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,"B cell, CD19-positive",CL:0001201,0,0,0,-1,1.0000,0.8750,1.0000,1.0000
123,2123,2123,2123,Lung,5,0.25,"PRB3,LPO",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Neutrophils,Salivary gland cells,Mucoepidermoid cells,"PRB3 positive alveolar type 1 cells, LPO positive secretory cells",salivary gland cell,CL:0009005,neutrophil,CL:0000775,cell,CL:0000000,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,3,-1,0.2500,0.2500,0.4000,0.2500
124,2124,2124,2124,Lung,5,0.25,"AIF1,FCGR3A",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,Macrophages,Monocytes/Macrophages,Macrophages,"AIF1 positive macrophages, FCGR3A positive monocytes",macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,"CD14-positive, CD16-positive monocyte",CL:0002397,3,3,3,-1,0.5714,0.5714,0.5714,0.5714
125,2125,2125,2125,Lung,5,0.25,"SLC6A4,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,Fibroblasts,Regulatory T cells,Neuroendocrine cells,"SLC6A4 positive neuroendocrine cells, LRRC32 positive T regulatory cells",regulatory t cell,CL:0000815,fibroblast,CL:0000057,neuroendocrine cell,CL:0000165,naive CCR4-positive regulatory T cell,CL:0001045,-1,8,-1,-1,0.2857,0.1538,0.1818,0.2857
126,2126,2126,2126,Lung,5,0.25,"SPARCL1,EDNRB",capillary aerocyte,,,epithelial cell,Fibroblasts,Smooth muscle cells,Endothelial cells,"SPARCL1 positive fibroblasts, EDNRB positive mesenchymal stem cells",smooth muscle cell,CL:0000192,fibroblast,CL:0000057,endothelial cell,CL:0000115,mesenchymal stem cell,CL:0000134,-1,8,4,8,0.4286,0.2222,0.2000,0.2222
127,2127,2127,2127,Lung,5,0.25,"ITLN2,RTKN2",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,Intestinal epithelial cells,Enterocytes/Intestinal cells,Goblet cells,"ITLN2 positive goblet cells, RTKN2 positive epithelial cells",intestinal epithelial cell,CL:0002563,intestinal epithelial cell,CL:0002563,goblet cell,CL:0000160,respiratory goblet cell,CL:0002370,-1,-1,-1,-1,0.4286,0.5000,0.4000,0.4000
128,2128,2128,2128,Lung,5,0.25,"C7,ACKR1",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,Endothelial cells,Red blood cells,Endothelial cells,"C7 positive endothelial cells, ACKR1 positive immune cells",primitive red blood cell,CL:0002355,endothelial cell,CL:0000115,endothelial cell,CL:0000115,"CD9-positive, CD41-positive megakaryocyte cell",CL:0002027,-1,3,3,-1,0.5000,0.2222,0.2000,0.5000
129,2129,2129,2129,Lung,5,0.25,"C1S,DCN",alveolar fibroblast,,,fibroblast,Fibroblasts,Fibroblasts,Fibroblasts,"C1S positive mast cells, DCN positive fibroblasts",fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,"CD69-positive, CD4-positive single-positive thymocyte",CL:0002433,2,2,2,-1,0.6667,0.1538,0.6667,0.6667
130,2130,2130,2130,Lung,5,0.25,"STAB2,GPR182",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Endothelial cells,Endothelial cells,Endothelial cells,", endothelial cells",endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,2,2,2,2,0.6000,0.6000,0.6000,0.6000
131,2131,2131,2131,Lung,5,0.25,"MYH11,DES",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,Smooth muscle cells,Smooth muscle cells,Smooth muscle cells,smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,2,2,2,2,0.6667,0.6667,0.6667,0.6667
132,2132,2132,2132,Lung,5,0.25,"MZB1,CLEC4C",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid dendritic cells,Plasma cells,Plasma cells,B cells,plasma cell,CL:0000786,plasmacytoid dendritic cell,CL:0000784,plasma cell,CL:0000786,b cell,CL:0000236,-1,0,-1,-1,0.3636,0.4000,0.3636,1.0000
133,2133,2133,2133,Lung,5,0.25,"ELF3,WFDC2",club cell,club cell,CL:0000158,epithelial cell,Epithelial cells,Bronchial epithelial cells,Epithelial cells,lung epithelial cells,bronchial epithelial cell,CL:0002328,epithelial cell,CL:0000066,epithelial cell,CL:0000066,epithelial cell of lung,CL:0000082,-1,2,2,-1,0.5000,0.6667,0.7143,0.5000
134,2134,2134,2134,Lung,5,0.25,"SPARCL1,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,Fibroblasts,Astrocytes,Fibroblasts,fibroblasts,astrocyte,CL:0000127,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,8,8,8,0.2500,0.2500,0.2000,0.2500
135,2135,2135,2135,Lung,5,0.25,"PDGFRB,CCN5",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Mesenchymal stem cells,Pericytes,Pericytes,pericytes,pericyte,CL:0000669,mesenchymal stem cell,CL:0000134,pericyte,CL:0000669,pericyte,CL:0000669,-1,7,-1,-1,0.2857,0.2857,0.2857,0.2857
136,2136,2136,2136,Lung,5,0.25,"GPR1,LINC01902",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Neurons,Neurons,Unknown,unknown,neuron,CL:0000540,neuron,CL:0000540,cyanophore,CL:0000747,cyanophore,CL:0000747,9,9,-1,-1,0.4000,0.4000,0.3333,0.3333
137,2137,2137,2137,Lung,5,0.25,"COX4I2,NDUFA4L2",pericyte cell,pericyte,CL:0000669,pericyte,Endothelial cells,Neurons,Endothelial cells,goblet cells,neuron,CL:0000540,endothelial cell,CL:0000115,endothelial cell,CL:0000115,goblet cell,CL:0000160,9,8,8,-1,0.4000,0.3333,0.3333,0.4000
138,2138,2138,2138,Lung,5,0.25,"HAS1,ITLN1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Fibroblasts,Goblet cells,Mesothelial cells,fibroblasts,goblet cell,CL:0000160,fibroblast,CL:0000057,mesothelial cell,CL:0000077,fibroblast,CL:0000057,-1,-1,0,-1,1.0000,0.2857,0.5000,0.2857
139,2139,2139,2139,Lung,5,0.25,"SCN7A,COL1A2",fibroblast,fibroblast,CL:0000057,fibroblast,Schwann cells,Fibroblasts,Fibroblasts,unknown,fibroblast,CL:0000057,schwann cell,CL:0002573,fibroblast,CL:0000057,cyanophore,CL:0000747,0,-1,0,-1,1.0000,0.4000,1.0000,0.2500
140,2140,2140,2140,Lung,5,0.25,"CD300E,RNASE2",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,Eosinophils,Eosinophils,Eosinophils,"Type 2 Alveolar Cells, Eosinophils",eosinophil,CL:0000771,eosinophil,CL:0000771,eosinophil,CL:0000771,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,-1,-1,0.5000,0.2222,0.5000,0.5000
141,2141,2141,2141,Lung,5,0.25,"HEPACAM2,LINC01187",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Glial cells,Hepatocytes,Club Cells,"Endothelial Cells, Mesothelial Cells",hepatocyte,CL:0000182,glial cell,CL:0000125,club cell,CL:0000158,mesothelial cell,CL:0000077,-1,18,-1,8,0.6000,0.4286,0.5000,0.2500
142,2142,2142,2142,Lung,5,0.5,"EMP2,LMO7,GPRC5A,SCEL,AGER",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Keratinocyte,Pulmonary Alveolar Type II Cells,Type I Pneumocytes,"Clara Cells, Type 1 Alveolar Cells, Club Cells",pulmonary alveolar type 2 cell,CL:0002063,keratinocyte,CL:0000312,type I pneumocyte differentiation,GO:0060509,club cell,CL:0000158,-1,-1,-1,-1,-1,0.5455,0.7143,0.4444
