tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-2024-08-06_myRAG_annotation,gpt-4o-2024-08-06_myRAG_Clname,gpt-4o-2024-08-06_myRAG_CLID
Lung,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,macrophage,CL:0000235,macrophage,macrophage,CL:0000235
Lung,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,granulocyte,Mast cells,mast cell,CL:0000097,basophil/mast cell,basophil mast progenitor cell,CL:0002028
Lung,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,macrophage/monocyte,Monocytes,monocyte,CL:0000576,classical monocyte,classical monocyte,CL:0000860
Lung,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,vein endothelial cell,vein endothelial cell,CL:0002543
Lung,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated cell,Ciliated epithelial cells,ciliated epithelial cell,CL:0000067,ciliated cell,ciliated cell,CL:0000064
Lung,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,dendritic cell,Dendritic Cells,dendritic cell,CL:0000451,myeloid dendritic cell type 2,myeloid dendritic cell,CL:0000782
Lung,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,epithelial cell,Club Cells,club cell,CL:0000158,mucous cell,mucus secreting cell,CL:0000319
Lung,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,stem cell,Basal Cells,basal cell,CL:0000646,basal cell,basal cell,CL:0000646
Lung,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,b cell,Plasma Cells,plasma cell,CL:0000786,plasma cell,plasma cell,CL:0000786
Lung,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,b cell,B Cells,b cell,CL:0000236,B cell,b cell,CL:0000236
Lung,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,Serous Cells,serous secreting cell,CL:0000313,serous cell,serous secreting cell,CL:0000313
Lung,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,Macrophages,macrophage,CL:0000235,nonclassical monocyte,monocyte,CL:0000576
Lung,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,Endothelial Cells,endothelial cell,CL:0000115,capillary interum intermediate cell,capillary endothelial cell,CL:0002144
Lung,"EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,epithelial cell,Endothelial Cells,endothelial cell,CL:0000115,"alveolar capillary type 2 endothelial cell,capillary interum intermediate cell,alveolar capillary type 2 endothelial cell,alveolar capillary type 2 endothelial cell,capillary interum intermediate cell,na,na",alveolar capillary type 2 endothelial cell,CL:4028003
Lung,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,Goblet Cells,goblet cell,CL:0000160,"pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell",pulmonary alveolar type 1 cell,CL:0002062
Lung,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,Endothelial Cells,endothelial cell,CL:0000115,"vein endothelial cell,plasmacytoid dendritic cell,vein endothelial cell,blood vessel endothelial cell,endothelial cell of lymphatic vessel,na,na",blood vessel endothelial cell,CL:0000071
Lung,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS",alveolar fibroblast,,,fibroblast,Fibroblasts,fibroblast,CL:0000057,"adventitial fum fibroblast,alveolar fum fibroblast,alveolar fum fibroblast,club cell,alveolar fum fibroblast,na,na,na",alveolar adventitial fibroblast,CL:4028006
Lung,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic Endothelial Cells,endothelial cell of lymphatic vessel,CL:0002138,"alveolar type 1 fibroblast cell,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,na,na",endothelial cell of lymphatic vessel,CL:0002138
Lung,"MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,Smooth Muscle Cells,smooth muscle cell,CL:0000192,"airway smooth muscle,vascular smooth muscle,airway smooth muscle,pulmonary alveolar type 1 cell,airway smooth muscle,na,na",smooth muscle cell,CL:0000192
Lung,"AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic Cells,plasmacytoid dendritic cell,CL:0000784,"plasmacytoid dendritic cell,plasmacytoid dendritic cell,plasmacytoid dendritic cell,plasmacytoid dendritic cell,plasmacytoid dendritic cell,na,na",plasmacytoid dendritic cell,CL:0000784
Lung,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB",club cell,club cell,CL:0000158,epithelial cell,Alveolar Type II Cells,pulmonary alveolar type 2 cell,CL:0002063,"club cell,goblet cell,goblet cell,goblet cell,pulmonary alveolar type 1 cell,na,na",goblet cell,CL:0000160
Lung,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,Endothelial Cells,endothelial cell,CL:0000115,"vein endothelial cell,fibromyocyte,vein endothelial cell,blood vessel endothelial cell,ciliated cell,na,na",vein endothelial cell,CL:0002543
Lung,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,Pericytes,pericyte,CL:0000669,"vascular smooth muscle,vascular smooth muscle,pericyte,vascular smooth muscle,pericyte,na,na",vascular associated smooth muscle cell,CL:0000359
Lung,"AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,Unknown,cyanophore,CL:0000747,neuroendocrine cell,neuroendocrine cell,CL:0000165
Lung,"COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2",pericyte cell,pericyte,CL:0000669,pericyte,Pericytes,pericyte,CL:0000669,pericyte,pericyte,CL:0000669
Lung,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Club Cells,club cell,CL:0000158,mesothelial cell,mesothelial cell,CL:0000077
Lung,"AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblast,fibroblast,CL:0000057,alveolar fum fibroblast,alveolar adventitial fibroblast,CL:4028006
Lung,"FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,Macrophages,macrophage,CL:0000235,classical monocyte,classical monocyte,CL:0000860
Lung,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Lymphatic Endothelial Cells,endothelial cell of lymphatic vessel,CL:0002138,ionocyte cell,ionocyte,CL:0005006
